 7.90240000e-11  4.75790065e-05  7.90240000e-11 -2.30142686e-07  7.90240000e-11  3.81757369e-06 
 1.58048000e-10  9.51564333e-05  1.58048000e-10 -2.30120908e-07  1.58048000e-10  7.63474152e-06 
 3.16096000e-10  1.90306567e-04  3.16096000e-10 -2.30055416e-07  3.16096000e-10  1.52678601e-05 
 6.32192000e-10  3.80588036e-04  6.32192000e-10 -2.29990049e-07  6.32192000e-10  3.05292329e-05 
 1.26438400e-09  7.61076473e-04  1.26438400e-09 -2.29793706e-07  1.26438400e-09  6.10325514e-05 
 2.52876800e-09  1.52175907e-03  2.52876800e-09 -2.29468180e-07  2.52876800e-09  1.21961721e-04 
 5.05753600e-09  3.04196668e-03  5.05753600e-09 -2.28756908e-07  5.05753600e-09  2.43512087e-04 
 7.90240000e-09  4.75038585e-03  7.90240000e-09 -2.28012902e-07  7.90240000e-09  3.79769863e-04 
 8.40815360e-09  5.05390592e-03  8.40815360e-09 -2.27934724e-07  8.40815360e-09  4.03939982e-04 
 9.41966080e-09  5.66076711e-03  9.41966080e-09 -2.27529275e-07  9.41966080e-09  4.52232064e-04 
 1.14426752e-08  6.87377731e-03  1.14426752e-08 -2.27127483e-07  1.14426752e-08  5.48624520e-04 
 1.54887040e-08  9.29697485e-03  1.54887040e-08 -2.25929039e-07  1.54887040e-08  7.40649810e-04 
 2.33911040e-08  1.40191034e-02  2.33911040e-08 -2.24030790e-07  2.33911040e-08  1.11283162e-03 
 3.12935040e-08  1.87274046e-02  3.12935040e-08 -2.21930537e-07  3.12935040e-08  1.48131712e-03 
 3.91959040e-08  2.34222068e-02  3.91959040e-08 -2.20144625e-07  3.91959040e-08  1.84621713e-03 
 4.70983040e-08  2.81038172e-02  4.70983040e-08 -2.18152491e-07  4.70983040e-08  2.20763761e-03 
 5.50007040e-08  3.27725282e-02  5.50007040e-08 -2.16470912e-07  5.50007040e-08  2.56568010e-03 
 6.29031040e-08  3.74286226e-02  6.29031040e-08 -2.14579567e-07  6.29031040e-08  2.92044200e-03 
 7.08055040e-08  4.20723770e-02  7.08055040e-08 -2.12995371e-07  7.08055040e-08  3.27201686e-03 
 7.87079040e-08  4.67040647e-02  7.87079040e-08 -2.11198095e-07  7.87079040e-08  3.62049455e-03 
 8.66103040e-08  5.13239580e-02  8.66103040e-08 -2.09704750e-07  8.66103040e-08  3.96596155e-03 
 9.45127040e-08  5.59323285e-02  9.45127040e-08 -2.07995238e-07  9.45127040e-08  4.30850108e-03 
 1.02415104e-07  6.05294445e-02  1.02415104e-07 -2.06586761e-07  1.02415104e-07  4.64819348e-03 
 1.10317504e-07  6.51155634e-02  1.10317504e-07 -2.04959502e-07  1.10317504e-07  4.98511653e-03 
 1.18219904e-07  6.96909121e-02  1.18219904e-07 -2.03631075e-07  1.18219904e-07  5.31934592e-03 
 1.26122304e-07  7.42556445e-02  1.26122304e-07 -2.02082253e-07  1.26122304e-07  5.65095591e-03 
 1.34024704e-07  7.88097525e-02  1.34024704e-07 -2.00831502e-07  1.34024704e-07  5.98002022e-03 
 1.41927104e-07  8.33528853e-02  1.41927104e-07 -1.99360839e-07  1.41927104e-07  6.30661325e-03 
 1.49829504e-07  8.78839872e-02  1.49829504e-07 -1.98190562e-07  1.49829504e-07  6.63081177e-03 
 1.57731904e-07  9.24005843e-02  1.57731904e-07 -1.96805418e-07  1.57731904e-07  6.95269723e-03 
 1.65634304e-07  9.68973913e-02  1.65634304e-07 -1.95729837e-07  1.65634304e-07  7.27235879e-03 
 1.73536704e-07  1.01363619e-01  1.73536704e-07 -1.94454972e-07  1.73536704e-07  7.58989740e-03 
 1.81439104e-07  1.05777830e-01  1.81439104e-07 -1.93515552e-07  1.81439104e-07  7.90543133e-03 
 1.89341504e-07  1.10098215e-01  1.89341504e-07 -1.92419980e-07  1.89341504e-07  8.21910397e-03 
 1.97243904e-07  1.14244528e-01  1.97243904e-07 -1.91732651e-07  1.97243904e-07  8.53109568e-03 
 2.05146304e-07  1.18065189e-01  2.05146304e-07 -1.91012887e-07  2.05146304e-07  8.84164132e-03 
 2.13048704e-07  1.21279054e-01  2.13048704e-07 -1.90909872e-07  2.13048704e-07  9.15105397e-03 
 2.19129905e-07  1.23051730e-01  2.19129905e-07 -1.90994481e-07  2.19129905e-07  9.38865219e-03 
 2.24017868e-07  1.23772126e-01  2.24017868e-07 -1.91616768e-07  2.24017868e-07  9.57948946e-03 
 2.28343799e-07  1.23647044e-01  2.28343799e-07 -1.92276276e-07  2.28343799e-07  9.74840850e-03 
 2.32358503e-07  1.22652155e-01  2.32358503e-07 -1.93479591e-07  2.32358503e-07  9.90530229e-03 
 2.36126697e-07  1.20699831e-01  2.36126697e-07 -1.94765603e-07  2.36126697e-07  1.00527684e-02 
 2.39671779e-07  1.17702444e-01  2.39671779e-07 -1.96624277e-07  2.39671779e-07  1.01917681e-02 
 2.43018287e-07  1.13571983e-01  2.43018287e-07 -1.98581741e-07  2.43018287e-07  1.03232896e-02 
 2.46192416e-07  1.08213375e-01  2.46192416e-07 -2.01125535e-07  2.46192416e-07  1.04483742e-02 
 2.49732514e-07  1.00201763e-01  2.49732514e-07 -2.04293537e-07  2.49732514e-07  1.05883354e-02 
 2.53053967e-07  9.03409018e-02  2.53053967e-07 -2.08149114e-07  2.53053967e-07  1.07201571e-02 
 2.56662869e-07  7.65423730e-02  2.56662869e-07 -2.12803928e-07  2.56662869e-07  1.08640173e-02 
 2.60193847e-07  5.95290877e-02  2.60193847e-07 -2.18257488e-07  2.60193847e-07  1.10055298e-02 
 2.63047398e-07  4.33977220e-02  2.63047398e-07 -2.22189084e-07  2.63047398e-07  1.11206604e-02 
 2.63808708e-07  3.88357614e-02  2.63808708e-07 -2.23155554e-07  2.63808708e-07  1.11515397e-02 
 2.64893367e-07  3.23738616e-02  2.64893367e-07 -2.23556686e-07  2.64893367e-07  1.11957293e-02 
 2.65827118e-07  2.70057786e-02  2.65827118e-07 -2.23703352e-07  2.65827118e-07  1.12340057e-02 
 2.66681494e-07  2.24134524e-02  2.66681494e-07 -2.22929968e-07  2.66681494e-07  1.12692703e-02 
 2.67567275e-07  1.81135334e-02  2.67567275e-07 -2.22111240e-07  2.67567275e-07  1.13061195e-02 
 2.68516398e-07  1.41334274e-02  2.68516398e-07 -2.20457738e-07  2.68516398e-07  1.13459646e-02 
 2.69521391e-07  1.06767425e-02  2.69521391e-07 -2.18981508e-07  2.69521391e-07  1.13885817e-02 
