 1.00000000e+00  9.99939168e-01 -3.57573909e-05 
 1.16591440e+00  9.99939167e-01 -4.16900570e-05 
 1.35935639e+00  9.99939167e-01 -4.86070378e-05 
 1.58489319e+00  9.99939166e-01 -5.66716453e-05 
 1.84784980e+00  9.99939165e-01 -6.60742873e-05 
 2.15443469e+00  9.99939163e-01 -7.70369630e-05 
 2.51188643e+00  9.99939161e-01 -8.98185044e-05 
 2.92864456e+00  9.99939158e-01 -1.04720688e-04 
 3.41454887e+00  9.99939154e-01 -1.22095357e-04 
 3.98107171e+00  9.99939149e-01 -1.42352735e-04 
 4.64158883e+00  9.99939141e-01 -1.65971102e-04 
 5.41169527e+00  9.99939131e-01 -1.93508096e-04 
 6.30957344e+00  9.99939118e-01 -2.25613873e-04 
 7.35642254e+00  9.99939100e-01 -2.63046459e-04 
 8.57695899e+00  9.99939075e-01 -3.06689647e-04 
 1.00000000e+01  9.99939041e-01 -3.57573864e-04 
 1.16591440e+01  9.99938995e-01 -4.16900498e-04 
 1.35935639e+01  9.99938932e-01 -4.86070264e-04 
 1.58489319e+01  9.99938847e-01 -5.66716272e-04 
 1.84784980e+01  9.99938731e-01 -6.60742587e-04 
 2.15443469e+01  9.99938574e-01 -7.70369176e-04 
 2.51188643e+01  9.99938360e-01 -8.98184324e-04 
 2.92864456e+01  9.99938070e-01 -1.04720573e-03 
 3.41454887e+01  9.99937675e-01 -1.22095176e-03 
 3.98107171e+01  9.99937138e-01 -1.42352448e-03 
 4.64158883e+01  9.99936408e-01 -1.65970647e-03 
 5.41169527e+01  9.99935416e-01 -1.93507375e-03 
 6.30957344e+01  9.99934067e-01 -2.25612731e-03 
 7.35642254e+01  9.99932233e-01 -2.63044648e-03 
 8.57695899e+01  9.99929741e-01 -3.06686777e-03 
 1.00000000e+02  9.99926353e-01 -3.57569316e-03 
 1.16591440e+02  9.99921748e-01 -4.16893291e-03 
 1.35935639e+02  9.99915487e-01 -4.86058841e-03 
 1.58489319e+02  9.99906978e-01 -5.66698169e-03 
 1.84784980e+02  9.99895410e-01 -6.60713895e-03 
 2.15443469e+02  9.99879686e-01 -7.70323703e-03 
 2.51188643e+02  9.99858312e-01 -8.98112256e-03 
 2.92864456e+02  9.99829259e-01 -1.04709152e-02 
 3.41454887e+02  9.99789767e-01 -1.22077075e-02 
 3.98107171e+02  9.99736090e-01 -1.42323760e-02 
 4.64158883e+02  9.99663133e-01 -1.65925185e-02 
 5.41169527e+02  9.99563974e-01 -1.93435329e-02 
 6.30957344e+02  9.99429215e-01 -2.25498561e-02 
 7.35642254e+02  9.99246087e-01 -2.62863735e-02 
 8.57695899e+02  9.98997258e-01 -3.06400121e-02 
 1.00000000e+03  9.98659211e-01 -3.57115152e-02 
 1.16591440e+03  9.98200052e-01 -4.16173824e-02 
 1.35935639e+03  9.97576569e-01 -4.84919285e-02 
 1.58489319e+03  9.96730284e-01 -5.64893644e-02 
 1.84784980e+03  9.95582187e-01 -6.57857251e-02 
 2.15443469e+03  9.94025758e-01 -7.65803393e-02 
 2.51188643e+03  9.91917822e-01 -8.90963429e-02 
 2.92864456e+03  9.89066713e-01 -1.03579436e-01 
 3.41454887e+03  9.85217282e-01 -1.20293651e-01 
 3.98107171e+03  9.80032441e-01 -1.39512286e-01 
 4.64158883e+03  9.73071484e-01 -1.61501345e-01 
 5.41169527e+03  9.63766483e-01 -1.86491909e-01 
 6.30957344e+03  9.51400038e-01 -2.14636990e-01 
 7.35642254e+03  9.35090992e-01 -2.45948216e-01 
 8.57695899e+03  9.13799479e-01 -2.80209300e-01 
 1.00000000e+04  8.86368475e-01 -3.16868345e-01 
 1.16591440e+04  8.51623489e-01 -3.54922046e-01 
 1.35935639e+04  8.08550024e-01 -3.92822678e-01 
 1.58489319e+04  7.56551960e-01 -4.28460053e-01 
 1.84784980e+04  6.95756526e-01 -4.59282986e-01 
 2.15443469e+04  6.27278074e-01 -4.82606678e-01 
 2.51188643e+04  5.53312257e-01 -4.96086613e-01 
 2.92864456e+04  4.76950493e-01 -4.98239618e-01 
 3.41454887e+04  4.01707287e-01 -4.88819909e-01 
 3.98107171e+04  3.30897217e-01 -4.68884688e-01 
 4.64158883e+04  2.67084057e-01 -4.40518552e-01 
 5.41169527e+04  2.11782669e-01 -4.06342213e-01 
 6.30957344e+04  1.65459265e-01 -3.69002054e-01 
 7.35642254e+04  1.27748431e-01 -3.30794154e-01 
 8.57695899e+04  9.77560022e-02 -2.93477338e-01 
 1.00000000e+05  7.43412699e-02 -2.58247287e-01 
 1.16591440e+05  5.63253925e-02 -2.25809036e-01 
