 0.00000000e+00  3.75615900e-01 
 5.00000000e-11  3.75619269e-01 
 1.00000000e-10  3.75626655e-01 
 2.00000000e-10  3.75650709e-01 
 4.00000000e-10  3.75765817e-01 
 8.00000000e-10  3.76343203e-01 
 1.60000000e-09  3.79240454e-01 
 3.20000000e-09  3.92746603e-01 
 5.00000000e-09  4.18988350e-01 
 5.27185902e-09  4.23754241e-01 
 5.81557706e-09  4.33228445e-01 
 6.90301314e-09  4.51506033e-01 
 9.07788531e-09  4.85012610e-01 
 1.33747572e-08  5.41673844e-01 
 2.19685009e-08  6.30869542e-01 
 3.19685009e-08  7.12923993e-01 
 4.19685009e-08  7.85820170e-01 
 5.19685009e-08  8.56057349e-01 
 6.19685009e-08  9.25835687e-01 
 7.19685009e-08  9.95447159e-01 
 8.19685009e-08  1.06492139e+00 
 9.19685009e-08  1.13427480e+00 
 1.01968501e-07  1.20350621e+00 
 1.11968501e-07  1.27262316e+00 
 1.21968501e-07  1.34162021e+00 
 1.31968501e-07  1.41050206e+00 
 1.41968501e-07  1.47926165e+00 
 1.51968501e-07  1.54790193e+00 
 1.61968501e-07  1.61641482e+00 
 1.71968501e-07  1.68480158e+00 
 1.81968501e-07  1.75305306e+00 
 1.91968501e-07  1.82116852e+00 
 2.01968501e-07  1.88913721e+00 
 2.11968501e-07  1.95695574e+00 
 2.21968501e-07  2.02461075e+00 
 2.31968501e-07  2.09209457e+00 
 2.41968501e-07  2.15938838e+00 
 2.51968501e-07  2.22647496e+00 
 2.61968501e-07  2.29331914e+00 
 2.71968501e-07  2.35987006e+00 
 2.81968501e-07  2.42601974e+00 
 2.91968501e-07  2.49156350e+00 
 3.01968501e-07  2.55612765e+00 
 3.11968501e-07  2.61918552e+00 
 3.21968501e-07  2.68012336e+00 
 3.31968501e-07  2.73835518e+00 
 3.41968501e-07  2.79337383e+00 
 3.51968501e-07  2.84479684e+00 
 3.61968501e-07  2.89236320e+00 
 3.71968501e-07  2.93594261e+00 
 3.81968501e-07  2.97551284e+00 
 3.91968501e-07  3.01115316e+00 
 4.01968501e-07  3.04301569e+00 
 4.11968501e-07  3.07131388e+00 
 4.21968501e-07  3.09629633e+00 
 4.31968501e-07  3.11823721e+00 
 4.41968501e-07  3.13741639e+00 
 4.51968501e-07  3.15411457e+00 
 4.61968501e-07  3.16860007e+00 
 4.71968501e-07  3.18112830e+00 
 4.81968501e-07  3.19193382e+00 
 4.91968501e-07  3.20123281e+00 
 5.01968501e-07  3.20921858e+00 
 5.11968501e-07  3.21606555e+00 
 5.21968501e-07  3.22192679e+00 
 5.31968501e-07  3.22693853e+00 
 5.41968501e-07  3.23121865e+00 
 5.51968501e-07  3.23487115e+00 
 5.61968501e-07  3.23798507e+00 
 5.71968501e-07  3.24063856e+00 
 5.81968501e-07  3.24289790e+00 
 5.91968501e-07  3.24482117e+00 
 6.01968501e-07  3.24645723e+00 
 6.11968501e-07  3.24784891e+00 
 6.21968501e-07  3.24903195e+00 
 6.31968501e-07  3.25003775e+00 
 6.41968501e-07  3.25089232e+00 
 6.51968501e-07  3.25161860e+00 
 6.61968501e-07  3.25223544e+00 
 6.71968501e-07  3.25275955e+00 
 6.81968501e-07  3.25320455e+00 
 6.91968501e-07  3.25358261e+00 
 7.01968501e-07  3.25390350e+00 
 7.11968501e-07  3.25417612e+00 
 7.21968501e-07  3.25440746e+00 
 7.31968501e-07  3.25460399e+00 
 7.41968501e-07  3.25477073e+00 
 7.51968501e-07  3.25491240e+00 
 7.61968501e-07  3.25503256e+00 
 7.71968501e-07  3.25513466e+00 
 7.81968501e-07  3.25522124e+00 
 7.91968501e-07  3.25529483e+00 
 8.01968501e-07  3.25535721e+00 
 8.11968501e-07  3.25541024e+00 
 8.21968501e-07  3.25545518e+00 
 8.31968501e-07  3.25549340e+00 
 8.41968501e-07  3.25552577e+00 
 8.51968501e-07  3.25555332e+00 
 8.61968501e-07  3.25557663e+00 
 8.71968501e-07  3.25559648e+00 
 8.81968501e-07  3.25561328e+00 
 8.91968501e-07  3.25562758e+00 
 9.01968501e-07  3.25563968e+00 
 9.11968501e-07  3.25564999e+00 
 9.21968501e-07  3.25565870e+00 
 9.31968501e-07  3.25566613e+00 
 9.41968501e-07  3.25567240e+00 
 9.51968501e-07  3.25567776e+00 
 9.61968501e-07  3.25568227e+00 
 9.71968501e-07  3.25568614e+00 
 9.81968501e-07  3.25568939e+00 
 9.91968501e-07  3.25569218e+00 
 1.00196850e-06  3.25569451e+00 
 1.01196850e-06  3.25569653e+00 
 1.02196850e-06  3.25569821e+00 
 1.03196850e-06  3.25569966e+00 
 1.04196850e-06  3.25570087e+00 
 1.05196850e-06  3.25570192e+00 
 1.06196850e-06  3.25570278e+00 
 1.07196850e-06  3.25570354e+00 
 1.08196850e-06  3.25570416e+00 
 1.09196850e-06  3.25570471e+00 
 1.10196850e-06  3.25570516e+00 
 1.11196850e-06  3.25570556e+00 
 1.12196850e-06  3.25570588e+00 
 1.13196850e-06  3.25570616e+00 
 1.14196850e-06  3.25570639e+00 
 1.15196850e-06  3.25570660e+00 
 1.16196850e-06  3.25570676e+00 
 1.17196850e-06  3.25570692e+00 
