 1.00000000e+00  1.50527759e+02 -5.39552120e-03 
 1.09647820e+00  1.50527759e+02 -5.91607135e-03 
 1.20226443e+00  1.50527759e+02 -6.48684324e-03 
 1.31825674e+00  1.50527759e+02 -7.11268218e-03 
 1.44543977e+00  1.50527759e+02 -7.79890092e-03 
 1.58489319e+00  1.50527759e+02 -8.55132481e-03 
 1.73780083e+00  1.50527759e+02 -9.37634119e-03 
 1.90546072e+00  1.50527759e+02 -1.02809537e-02 
 2.08929613e+00  1.50527758e+02 -1.12728415e-02 
 2.29086765e+00  1.50527758e+02 -1.23604249e-02 
 2.51188643e+00  1.50527758e+02 -1.35529364e-02 
 2.75422870e+00  1.50527758e+02 -1.48604992e-02 
 3.01995172e+00  1.50527758e+02 -1.62942134e-02 
 3.31131121e+00  1.50527757e+02 -1.78662496e-02 
 3.63078055e+00  1.50527757e+02 -1.95899531e-02 
 3.98107171e+00  1.50527756e+02 -2.14799564e-02 
 4.36515832e+00  1.50527756e+02 -2.35523037e-02 
 4.78630092e+00  1.50527755e+02 -2.58245874e-02 
 5.24807460e+00  1.50527754e+02 -2.83160968e-02 
 5.75439937e+00  1.50527753e+02 -3.10479825e-02 
 6.30957344e+00  1.50527752e+02 -3.40434356e-02 
 6.91830971e+00  1.50527750e+02 -3.73278845e-02 
 7.58577575e+00  1.50527748e+02 -4.09292109e-02 
 8.31763771e+00  1.50527746e+02 -4.48779867e-02 
 9.12010839e+00  1.50527743e+02 -4.92077330e-02 
 1.00000000e+01  1.50527740e+02 -5.39552052e-02 
 1.09647820e+01  1.50527736e+02 -5.91607045e-02 
 1.20226443e+01  1.50527731e+02 -6.48684205e-02 
 1.31825674e+01  1.50527726e+02 -7.11268060e-02 
 1.44543977e+01  1.50527719e+02 -7.79889885e-02 
 1.58489319e+01  1.50527711e+02 -8.55132207e-02 
 1.73780083e+01  1.50527701e+02 -9.37633759e-02 
 1.90546072e+01  1.50527689e+02 -1.02809489e-01 
 2.08929613e+01  1.50527675e+02 -1.12728353e-01 
