 7.46935000e-11  4.68350743e-05  7.46935000e-11 -2.29535392e-07  7.46935000e-11  3.19511811e-06 
 1.49387000e-10  9.36645604e-05  1.49387000e-10 -2.29513611e-07  1.49387000e-10  6.38992769e-06 
 2.98774000e-10  1.87307280e-04  2.98774000e-10 -2.29448297e-07  2.98774000e-10  1.27786233e-05 
 5.97548000e-10  3.74530861e-04  5.97548000e-10 -2.29384130e-07  5.97548000e-10  2.55523333e-05 
 1.19509600e-09  7.48752789e-04  1.19509600e-09 -2.29192330e-07  1.19509600e-09  5.10851196e-05 
 2.39019200e-09  1.49643189e-03  2.39019200e-09 -2.28883246e-07  2.39019200e-09  1.02092737e-04 
 4.78038400e-09  2.98941767e-03  4.78038400e-09 -2.28221159e-07  4.78038400e-09  2.03879391e-04 
 7.46935000e-09  4.66612691e-03  7.46935000e-09 -2.27545914e-07  7.46935000e-09  3.18030373e-04 
 7.94738840e-09  4.96393552e-03  7.94738840e-09 -2.27473533e-07  7.94738840e-09  3.38284489e-04 
 8.90346520e-09  5.55932501e-03  8.90346520e-09 -2.27105618e-07  8.90346520e-09  3.78757277e-04 
 1.08156188e-08  6.74923588e-03  1.08156188e-08 -2.26742354e-07  1.08156188e-08  4.59561771e-04 
 1.46399260e-08  9.12581947e-03  1.46399260e-08 -2.25659274e-07  1.46399260e-08  6.20611657e-04 
 2.21092760e-08  1.37561110e-02  2.21092760e-08 -2.23947531e-07  2.21092760e-08  9.33049230e-04 
 2.95786260e-08  1.83721742e-02  2.95786260e-08 -2.22049902e-07  2.95786260e-08  1.24275723e-03 
 3.70479760e-08  2.29746561e-02  3.70479760e-08 -2.20434932e-07  3.70479760e-08  1.54981025e-03 
 4.45173260e-08  2.75640089e-02  4.45173260e-08 -2.18629504e-07  4.45173260e-08  1.85428014e-03 
 5.19866760e-08  3.21406056e-02  5.19866760e-08 -2.17103751e-07  5.19866760e-08  2.15623668e-03 
 5.94560260e-08  3.67047788e-02  5.94560260e-08 -2.15385240e-07  5.94560260e-08  2.45574801e-03 
 6.69253760e-08  4.12568350e-02  6.69253760e-08 -2.13944517e-07  6.69253760e-08  2.75288101e-03 
 7.43947260e-08  4.57970622e-02  7.43947260e-08 -2.12309483e-07  7.43947260e-08  3.04770165e-03 
 8.18640760e-08  5.03257325e-02  8.18640760e-08 -2.10951024e-07  8.18640760e-08  3.34027553e-03 
 8.93334260e-08  5.48431016e-02  8.93334260e-08 -2.09397451e-07  8.93334260e-08  3.63066828e-03 
 9.68027760e-08  5.93494060e-02  9.68027760e-08 -2.08120165e-07  9.68027760e-08  3.91894631e-03 
 1.04272126e-07  6.38448551e-02  1.04272126e-07 -2.06648133e-07  1.04272126e-07  4.20517757e-03 
 1.11741476e-07  6.83296180e-02  1.11741476e-07 -2.05453620e-07  1.11741476e-07  4.48943260e-03 
 1.19210826e-07  7.28038011e-02  1.19210826e-07 -2.04066742e-07  1.19210826e-07  4.77178586e-03 
 1.26680176e-07  7.72674116e-02  1.26680176e-07 -2.02961337e-07  1.26680176e-07  5.05231758e-03 
 1.34149526e-07  8.17203003e-02  1.34149526e-07 -2.01669722e-07  1.34149526e-07  5.33111654e-03 
 1.41618876e-07  8.61620709e-02  1.41618876e-07 -2.00668811e-07  1.41618876e-07  5.60828344e-03 
 1.49088226e-07  9.05919388e-02  1.49088226e-07 -1.99495178e-07  1.49088226e-07  5.88393567e-03 
 1.56557576e-07  9.50085118e-02  1.56557576e-07 -1.98631491e-07  1.56557576e-07  6.15821344e-03 
 1.64026926e-07  9.94094519e-02  1.64026926e-07 -1.97621876e-07  1.64026926e-07  6.43128760e-03 
 1.71496276e-07  1.03790954e-01  1.71496276e-07 -1.96958661e-07  1.71496276e-07  6.70336909e-03 
 1.78965626e-07  1.08146946e-01  1.78965626e-07 -1.96198060e-07  1.78965626e-07  6.97472026e-03 
 1.86434976e-07  1.12467870e-01  1.86434976e-07 -1.95847249e-07  1.86434976e-07  7.24566793e-03 
 1.93904326e-07  1.16738833e-01  1.93904326e-07 -1.95480340e-07  1.93904326e-07  7.51661780e-03 
 2.01373676e-07  1.20936803e-01  2.01373676e-07 -1.95625543e-07  2.01373676e-07  7.78806958e-03 
 2.08843026e-07  1.25026419e-01  2.08843026e-07 -1.95880839e-07  2.08843026e-07  8.06063119e-03 
 2.16312376e-07  1.28953749e-01  2.16312376e-07 -1.96800318e-07  2.16312376e-07  8.33502949e-03 
 2.23781726e-07  1.32637091e-01  2.23781726e-07 -1.98008727e-07  2.23781726e-07  8.61211469e-03 
 2.30526028e-07  1.35654699e-01  2.30526028e-07 -1.99879071e-07  2.30526028e-07  8.86541206e-03 
 2.37004384e-07  1.38152362e-01  2.37004384e-07 -2.01994689e-07  2.37004384e-07  9.11225361e-03 
 2.43375428e-07  1.40063939e-01  2.43375428e-07 -2.04964521e-07  2.43375428e-07  9.35911512e-03 
 2.49770473e-07  1.41218069e-01  2.49770473e-07 -2.08430835e-07  2.49770473e-07  9.61176643e-03 
 2.55700315e-07  1.41344616e-01  2.55700315e-07 -2.12681567e-07  2.55700315e-07  9.85109614e-03 
 2.60895861e-07  1.40452187e-01  2.60895861e-07 -2.16903166e-07  2.60895861e-07  1.00653864e-02 
 2.65745195e-07  1.38510731e-01  2.65745195e-07 -2.21840481e-07  2.65745195e-07  1.02698524e-02 
