 7.58601000e-11  4.49493482e-05  7.58601000e-11 -2.27713454e-07  7.58601000e-11  3.58524157e-06 
 1.51720200e-10  8.98971131e-05  1.51720200e-10 -2.27693452e-07  1.51720200e-10  7.17013154e-06 
 3.03440400e-10  1.79787934e-04  3.03440400e-10 -2.27633248e-07  3.03440400e-10  1.43388571e-05 
 6.06880800e-10  3.59550942e-04  6.06880800e-10 -2.27573140e-07  6.06880800e-10  2.86720943e-05 
 1.21376160e-09  7.19003980e-04  1.21376160e-09 -2.27392420e-07  1.21376160e-09  5.73217383e-05 
 2.42752320e-09  1.43762703e-03  2.42752320e-09 -2.27092524e-07  2.42752320e-09  1.14553905e-04 
 4.85504640e-09  2.87378586e-03  4.85504640e-09 -2.26436821e-07  4.85504640e-09  2.28751304e-04 
 7.58601000e-09  4.48779360e-03  7.58601000e-09 -2.25750121e-07  7.58601000e-09  3.56801545e-04 
 8.07151464e-09  4.77454694e-03  8.07151464e-09 -2.25677950e-07  8.07151464e-09  3.79519618e-04 
 9.04252392e-09  5.34789117e-03  9.04252392e-09 -2.25303556e-07  9.04252392e-09  4.24913957e-04 
 1.09845425e-08  6.49393458e-03  1.09845425e-08 -2.24932295e-07  1.09845425e-08  5.15536143e-04 
 1.48685796e-08  8.78347265e-03  1.48685796e-08 -2.23824450e-07  1.48685796e-08  6.96120331e-04 
 2.24545896e-08  1.32456143e-02  2.24545896e-08 -2.22066483e-07  2.24545896e-08  1.04632818e-03 
 3.00405996e-08  1.76953320e-02  3.00405996e-08 -2.20117787e-07  3.00405996e-08  1.39331292e-03 
 3.76266096e-08  2.21329286e-02  3.76266096e-08 -2.18456863e-07  3.76266096e-08  1.73716422e-03 
 4.52126196e-08  2.65586794e-02  4.52126196e-08 -2.16601904e-07  4.52126196e-08  2.07796814e-03 
 5.27986296e-08  3.09728416e-02  5.27986296e-08 -2.15031780e-07  5.27986296e-08  2.41580751e-03 
 6.03846396e-08  3.53756598e-02  6.03846396e-08 -2.13264906e-07  6.03846396e-08  2.75076222e-03 
 6.79706496e-08  3.97673686e-02  6.79706496e-08 -2.11780291e-07  6.79706496e-08  3.08290942e-03 
 7.55566596e-08  4.41481958e-02  7.55566596e-08 -2.10096469e-07  7.55566596e-08  3.41232384e-03 
 8.31426696e-08  4.85183641e-02  8.31426696e-08 -2.08692595e-07  8.31426696e-08  3.73907801e-03 
 9.07286796e-08  5.28780923e-02  9.07286796e-08 -2.07087415e-07  9.07286796e-08  4.06324267e-03 
 9.83146896e-08  5.72275968e-02  9.83146896e-08 -2.05760411e-07  9.83146896e-08  4.38488729e-03 
 1.05900700e-07  6.15670920e-02  1.05900700e-07 -2.04230826e-07  1.05900700e-07  4.70408075e-03 
 1.13486710e-07  6.58967909e-02  1.13486710e-07 -2.02978873e-07  1.13486710e-07  5.02089238e-03 
 1.21072720e-07  7.02169046e-02  1.21072720e-07 -2.01524844e-07  1.21072720e-07  5.33539337e-03 
 1.28658730e-07  7.45276415e-02  1.28658730e-07 -2.00350434e-07  1.28658730e-07  5.64765873e-03 
 1.36244740e-07  7.88292031e-02  1.36244740e-07 -1.98977988e-07  1.36244740e-07  5.95777003e-03 
 1.43830750e-07  8.31217774e-02  1.43830750e-07 -1.97892026e-07  1.43830750e-07  6.26581910e-03 
 1.51416760e-07  8.74055232e-02  1.51416760e-07 -1.96618829e-07  1.51416760e-07  6.57191335e-03 
 1.59002770e-07  9.16805396e-02  1.59002770e-07 -1.95648639e-07  1.59002770e-07  6.87618342e-03 
 1.66588780e-07  9.59468064e-02  1.66588780e-07 -1.94516588e-07  1.66588780e-07  7.17879523e-03 
 1.74174790e-07  1.00204069e-01  1.74174790e-07 -1.93727139e-07  1.74174790e-07  7.47996891e-03 
 1.81760800e-07  1.04451621e-01  1.81760800e-07 -1.92837997e-07  1.81760800e-07  7.78000789e-03 
 1.89346810e-07  1.08687890e-01  1.89346810e-07 -1.92387566e-07  1.89346810e-07  8.07934060e-03 
 1.96932820e-07  1.12909674e-01  1.96932820e-07 -1.91980945e-07  1.96932820e-07  8.37857571e-03 
 2.03436138e-07  1.16512985e-01  2.03436138e-07 -1.92190325e-07  2.03436138e-07  8.63566589e-03 
 2.09543036e-07  1.19876838e-01  2.09543036e-07 -1.92486247e-07  2.09543036e-07  8.87822851e-03 
 2.16023919e-07  1.23414314e-01  2.16023919e-07 -1.93546525e-07  2.16023919e-07  9.13772271e-03 
 2.21920928e-07  1.26588525e-01  2.21920928e-07 -1.94842785e-07  2.21920928e-07  9.37661429e-03 
 2.27077088e-07  1.29310537e-01  2.27077088e-07 -1.96704144e-07  2.27077088e-07  9.58845271e-03 
 2.31918841e-07  1.31798525e-01  2.31918841e-07 -1.98711378e-07  2.31918841e-07  9.79056366e-03 
 2.37099278e-07  1.34351844e-01  2.37099278e-07 -2.01681554e-07  2.37099278e-07  1.00109649e-02 
 2.42004365e-07  1.36618648e-01  2.42004365e-07 -2.04897435e-07  2.42004365e-07  1.02242903e-02 
 2.47155131e-07  1.38764394e-01  2.47155131e-07 -2.09167928e-07  2.47155131e-07  1.04538683e-02 
 2.52570669e-07  1.40635798e-01  2.52570669e-07 -2.14285663e-07  2.52570669e-07  1.07021502e-02 
 2.57029113e-07  1.41753049e-01  2.57029113e-07 -2.19403760e-07  2.57029113e-07  1.09123924e-02 
 2.60850029e-07  1.42284152e-01  2.60850029e-07 -2.24209150e-07  2.60850029e-07  1.10971750e-02 
 2.64511681e-07  1.42296593e-01  2.64511681e-07 -2.29671472e-07  2.64511681e-07  1.12786740e-02 
 2.67652206e-07  1.41809822e-01  2.67652206e-07 -2.34875131e-07  2.67652206e-07  1.14382686e-02 
 2.69960405e-07  1.41090721e-01  2.69960405e-07 -2.39507475e-07  2.69960405e-07  1.15583252e-02 
 2.71863632e-07  1.40223676e-01  2.71863632e-07 -2.43659515e-07  2.71863632e-07  1.16594770e-02 
 2.73546619e-07  1.39220782e-01  2.73546619e-07 -2.48089508e-07  2.73546619e-07  1.17509231e-02 
 2.75104524e-07  1.38071249e-01  2.75104524e-07 -2.52555213e-07  2.75104524e-07  1.18376318e-02 
 2.76584617e-07  1.36761854e-01  2.76584617e-07 -2.57649729e-07  2.76584617e-07  1.19222557e-02 
 2.78029253e-07  1.35261100e-01  2.78029253e-07 -2.63060303e-07  2.78029253e-07  1.20074015e-02 
 2.79589104e-07  1.33372959e-01  2.79589104e-07 -2.69884913e-07  2.79589104e-07  1.21026914e-02 
 2.81048957e-07  1.31336189e-01  2.81048957e-07 -2.76751068e-07  2.81048957e-07  1.21954953e-02 
 2.82628818e-07  1.28818628e-01  2.82628818e-07 -2.84924592e-07  2.82628818e-07  1.23003009e-02 
 2.84391722e-07  1.25602188e-01  2.84391722e-07 -2.94308826e-07  2.84391722e-07  1.24229359e-02 
 2.87005167e-07  1.19989440e-01  2.87005167e-07 -3.08566208e-07  2.87005167e-07  1.26157421e-02 
 2.88923249e-07  1.15191322e-01  2.88923249e-07 -3.18441698e-07  2.88923249e-07  1.27650381e-02 
 2.90915426e-07  1.09551007e-01  2.90915426e-07 -3.28097150e-07  2.90915426e-07  1.29259091e-02 
 2.93133456e-07  1.02413111e-01  2.93133456e-07 -3.37417780e-07  2.93133456e-07  1.31101816e-02 
 2.95357977e-07  9.42426275e-02  2.95357977e-07 -3.45652621e-07  2.95357977e-07  1.32983134e-02 
 2.97875084e-07  8.35852166e-02  2.97875084e-07 -3.53527149e-07  2.97875084e-07  1.35124440e-02 
 3.00671567e-07  6.96697209e-02  3.00671567e-07 -3.61497114e-07  3.00671567e-07  1.37488701e-02 
 3.04131193e-07  4.90624061e-02  3.04131193e-07 -3.70606080e-07  3.04131193e-07  1.40357192e-02 
 3.05526564e-07  3.98139571e-02  3.05526564e-07 -3.73868211e-07  3.05526564e-07  1.41491961e-02 
