 1.00000000e+00 -2.38440207e+01  1.00000000e+00  3.14153402e+00 
 1.02305973e+00 -2.38440207e+01  1.02305973e+00  3.14153267e+00 
 1.04665121e+00 -2.38440207e+01  1.04665121e+00  3.14153128e+00 
 1.07078670e+00 -2.38440207e+01  1.07078670e+00  3.14152987e+00 
 1.09547876e+00 -2.38440207e+01  1.09547876e+00  3.14152842e+00 
 1.12074020e+00 -2.38440207e+01  1.12074020e+00  3.14152694e+00 
 1.14658417e+00 -2.38440207e+01  1.14658417e+00  3.14152542e+00 
 1.17302409e+00 -2.38440207e+01  1.17302409e+00  3.14152387e+00 
 1.20007371e+00 -2.38440207e+01  1.20007371e+00  3.14152229e+00 
 1.22774708e+00 -2.38440207e+01  1.22774708e+00  3.14152067e+00 
 1.25605860e+00 -2.38440207e+01  1.25605860e+00  3.14151901e+00 
 1.28502297e+00 -2.38440207e+01  1.28502297e+00  3.14151731e+00 
 1.31465525e+00 -2.38440207e+01  1.31465525e+00  3.14151557e+00 
 1.34497085e+00 -2.38440207e+01  1.34497085e+00  3.14151379e+00 
 1.37598551e+00 -2.38440208e+01  1.37598551e+00  3.14151197e+00 
 1.40771537e+00 -2.38440208e+01  1.40771537e+00  3.14151011e+00 
 1.44017690e+00 -2.38440208e+01  1.44017690e+00  3.14150821e+00 
 1.47338699e+00 -2.38440208e+01  1.47338699e+00  3.14150626e+00 
 1.50736290e+00 -2.38440208e+01  1.50736290e+00  3.14150427e+00 
 1.54212228e+00 -2.38440208e+01  1.54212228e+00  3.14150223e+00 
 1.57768320e+00 -2.38440208e+01  1.57768320e+00  3.14150015e+00 
 1.61406415e+00 -2.38440208e+01  1.61406415e+00  3.14149801e+00 
 1.65128404e+00 -2.38440208e+01  1.65128404e+00  3.14149583e+00 
 1.68936220e+00 -2.38440208e+01  1.68936220e+00  3.14149360e+00 
 1.72831844e+00 -2.38440208e+01  1.72831844e+00  3.14149132e+00 
 1.76817299e+00 -2.38440208e+01  1.76817299e+00  3.14148898e+00 
 1.80894658e+00 -2.38440208e+01  1.80894658e+00  3.14148659e+00 
 1.85066040e+00 -2.38440208e+01  1.85066040e+00  3.14148414e+00 
 1.89333613e+00 -2.38440208e+01  1.89333613e+00  3.14148164e+00 
 1.93699595e+00 -2.38440208e+01  1.93699595e+00  3.14147908e+00 
 1.98166255e+00 -2.38440208e+01  1.98166255e+00  3.14147646e+00 
 2.02735916e+00 -2.38440208e+01  2.02735916e+00  3.14147378e+00 
 2.07410951e+00 -2.38440208e+01  2.07410951e+00  3.14147104e+00 
 2.12193792e+00 -2.38440208e+01  2.12193792e+00  3.14146824e+00 
 2.17086923e+00 -2.38440208e+01  2.17086923e+00  3.14146537e+00 
 2.22092889e+00 -2.38440208e+01  2.22092889e+00  3.14146243e+00 
 2.27214291e+00 -2.38440208e+01  2.27214291e+00  3.14145943e+00 
 2.32453791e+00 -2.38440208e+01  2.32453791e+00  3.14145636e+00 
 2.37814113e+00 -2.38440208e+01  2.37814113e+00  3.14145321e+00 
 2.43298042e+00 -2.38440208e+01  2.43298042e+00  3.14145000e+00 
 2.48908429e+00 -2.38440208e+01  2.48908429e+00  3.14144671e+00 
 2.54648190e+00 -2.38440208e+01  2.54648190e+00  3.14144334e+00 
 2.60520309e+00 -2.38440209e+01  2.60520309e+00  3.14143990e+00 
 2.66527837e+00 -2.38440209e+01  2.66527837e+00  3.14143638e+00 
 2.72673897e+00 -2.38440209e+01  2.72673897e+00  3.14143277e+00 
 2.78961683e+00 -2.38440209e+01  2.78961683e+00  3.14142909e+00 
 2.85394464e+00 -2.38440209e+01  2.85394464e+00  3.14142532e+00 
 2.91975583e+00 -2.38440209e+01  2.91975583e+00  3.14142146e+00 
 2.98708461e+00 -2.38440209e+01  2.98708461e+00  3.14141751e+00 
 3.05596598e+00 -2.38440209e+01  3.05596598e+00  3.14141347e+00 
 3.12643573e+00 -2.38440209e+01  3.12643573e+00  3.14140934e+00 
 3.19853049e+00 -2.38440209e+01  3.19853049e+00  3.14140511e+00 
 3.27228774e+00 -2.38440209e+01  3.27228774e+00  3.14140079e+00 
 3.34774581e+00 -2.38440209e+01  3.34774581e+00  3.14139636e+00 
 3.42494392e+00 -2.38440210e+01  3.42494392e+00  3.14139184e+00 
 3.50392221e+00 -2.38440210e+01  3.50392221e+00  3.14138720e+00 
 3.58472171e+00 -2.38440210e+01  3.58472171e+00  3.14138247e+00 
 3.66738442e+00 -2.38440210e+01  3.66738442e+00  3.14137762e+00 
 3.75195331e+00 -2.38440210e+01  3.75195331e+00  3.14137266e+00 
 3.83847234e+00 -2.38440210e+01  3.83847234e+00  3.14136759e+00 
 3.92698648e+00 -2.38440210e+01  3.92698648e+00  3.14136240e+00 
 4.01754173e+00 -2.38440210e+01  4.01754173e+00  3.14135709e+00 
 4.11018515e+00 -2.38440211e+01  4.11018515e+00  3.14135166e+00 
 4.20496491e+00 -2.38440211e+01  4.20496491e+00  3.14134610e+00 
 4.30193027e+00 -2.38440211e+01  4.30193027e+00  3.14134041e+00 
 4.40113162e+00 -2.38440211e+01  4.40113162e+00  3.14133460e+00 
 4.50262052e+00 -2.38440211e+01  4.50262052e+00  3.14132865e+00 
 4.60644974e+00 -2.38440212e+01  4.60644974e+00  3.14132256e+00 
 4.71267322e+00 -2.38440212e+01  4.71267322e+00  3.14131633e+00 
 4.82134619e+00 -2.38440212e+01  4.82134619e+00  3.14130996e+00 
 4.93252513e+00 -2.38440212e+01  4.93252513e+00  3.14130344e+00 
 5.04626783e+00 -2.38440212e+01  5.04626783e+00  3.14129677e+00 
 5.16263340e+00 -2.38440213e+01  5.16263340e+00  3.14128995e+00 
 5.28168234e+00 -2.38440213e+01  5.28168234e+00  3.14128297e+00 
 5.40347650e+00 -2.38440213e+01  5.40347650e+00  3.14127583e+00 
 5.52807921e+00 -2.38440213e+01  5.52807921e+00  3.14126852e+00 
 5.65555523e+00 -2.38440214e+01  5.65555523e+00  3.14126105e+00 
 5.78597080e+00 -2.38440214e+01  5.78597080e+00  3.14125340e+00 
 5.91939372e+00 -2.38440214e+01  5.91939372e+00  3.14124558e+00 
 6.05589334e+00 -2.38440215e+01  6.05589334e+00  3.14123757e+00 
 6.19554061e+00 -2.38440215e+01  6.19554061e+00  3.14122938e+00 
 6.33840810e+00 -2.38440216e+01  6.33840810e+00  3.14122101e+00 
 6.48457008e+00 -2.38440216e+01  6.48457008e+00  3.14121244e+00 
 6.63410251e+00 -2.38440216e+01  6.63410251e+00  3.14120367e+00 
 6.78708313e+00 -2.38440217e+01  6.78708313e+00  3.14119470e+00 
 6.94359143e+00 -2.38440217e+01  6.94359143e+00  3.14118552e+00 
 7.10370877e+00 -2.38440218e+01  7.10370877e+00  3.14117614e+00 
 7.26751838e+00 -2.38440218e+01  7.26751838e+00  3.14116653e+00 
 7.43510539e+00 -2.38440219e+01  7.43510539e+00  3.14115670e+00 
 7.60655691e+00 -2.38440219e+01  7.60655691e+00  3.14114665e+00 
 7.78196206e+00 -2.38440220e+01  7.78196206e+00  3.14113637e+00 
 7.96141200e+00 -2.38440220e+01  7.96141200e+00  3.14112584e+00 
 8.14500001e+00 -2.38440221e+01  8.14500001e+00  3.14111508e+00 
 8.33282151e+00 -2.38440222e+01  8.33282151e+00  3.14110407e+00 
 8.52497412e+00 -2.38440222e+01  8.52497412e+00  3.14109280e+00 
 8.72155772e+00 -2.38440223e+01  8.72155772e+00  3.14108127e+00 
 8.92267449e+00 -2.38440224e+01  8.92267449e+00  3.14106948e+00 
 9.12842895e+00 -2.38440225e+01  9.12842895e+00  3.14105742e+00 
 9.33892805e+00 -2.38440225e+01  9.33892805e+00  3.14104508e+00 
 9.55428121e+00 -2.38440226e+01  9.55428121e+00  3.14103245e+00 
 9.77460036e+00 -2.38440227e+01  9.77460036e+00  3.14101953e+00 
 1.00000000e+01 -2.38440228e+01  1.00000000e+01  3.14100631e+00 
 1.02305973e+01 -2.38440229e+01  1.02305973e+01  3.14099279e+00 
 1.04665121e+01 -2.38440230e+01  1.04665121e+01  3.14097896e+00 
 1.07078670e+01 -2.38440231e+01  1.07078670e+01  3.14096481e+00 
 1.09547876e+01 -2.38440232e+01  1.09547876e+01  3.14095033e+00 
 1.12074020e+01 -2.38440233e+01  1.12074020e+01  3.14093552e+00 
 1.14658417e+01 -2.38440235e+01  1.14658417e+01  3.14092037e+00 
 1.17302409e+01 -2.38440236e+01  1.17302409e+01  3.14090486e+00 
 1.20007371e+01 -2.38440237e+01  1.20007371e+01  3.14088900e+00 
 1.22774708e+01 -2.38440239e+01  1.22774708e+01  3.14087278e+00 
 1.25605860e+01 -2.38440240e+01  1.25605860e+01  3.14085618e+00 
 1.28502297e+01 -2.38440242e+01  1.28502297e+01  3.14083919e+00 
 1.31465525e+01 -2.38440243e+01  1.31465525e+01  3.14082182e+00 
 1.34497085e+01 -2.38440245e+01  1.34497085e+01  3.14080404e+00 
 1.37598551e+01 -2.38440247e+01  1.37598551e+01  3.14078586e+00 
 1.40771537e+01 -2.38440249e+01  1.40771537e+01  3.14076725e+00 
 1.44017690e+01 -2.38440250e+01  1.44017690e+01  3.14074822e+00 
 1.47338699e+01 -2.38440253e+01  1.47338699e+01  3.14072875e+00 
 1.50736290e+01 -2.38440255e+01  1.50736290e+01  3.14070883e+00 
 1.54212228e+01 -2.38440257e+01  1.54212228e+01  3.14068845e+00 
 1.57768320e+01 -2.38440259e+01  1.57768320e+01  3.14066760e+00 
 1.61406415e+01 -2.38440262e+01  1.61406415e+01  3.14064626e+00 
 1.65128404e+01 -2.38440264e+01  1.65128404e+01  3.14062444e+00 
 1.68936220e+01 -2.38440267e+01  1.68936220e+01  3.14060211e+00 
 1.72831844e+01 -2.38440270e+01  1.72831844e+01  3.14057927e+00 
 1.76817299e+01 -2.38440273e+01  1.76817299e+01  3.14055590e+00 
 1.80894658e+01 -2.38440276e+01  1.80894658e+01  3.14053200e+00 
 1.85066040e+01 -2.38440279e+01  1.85066040e+01  3.14050754e+00 
 1.89333613e+01 -2.38440282e+01  1.89333613e+01  3.14048252e+00 
 1.93699595e+01 -2.38440286e+01  1.93699595e+01  3.14045692e+00 
 1.98166255e+01 -2.38440289e+01  1.98166255e+01  3.14043073e+00 
 2.02735916e+01 -2.38440293e+01  2.02735916e+01  3.14040393e+00 
 2.07410951e+01 -2.38440297e+01  2.07410951e+01  3.14037652e+00 
 2.12193792e+01 -2.38440301e+01  2.12193792e+01  3.14034848e+00 
 2.17086923e+01 -2.38440306e+01  2.17086923e+01  3.14031979e+00 
 2.22092889e+01 -2.38440310e+01  2.22092889e+01  3.14029044e+00 
 2.27214291e+01 -2.38440315e+01  2.27214291e+01  3.14026041e+00 
 2.32453791e+01 -2.38440320e+01  2.32453791e+01  3.14022969e+00 
 2.37814113e+01 -2.38440325e+01  2.37814113e+01  3.14019826e+00 
 2.43298042e+01 -2.38440331e+01  2.43298042e+01  3.14016610e+00 
 2.48908429e+01 -2.38440337e+01  2.48908429e+01  3.14013321e+00 
 2.54648190e+01 -2.38440343e+01  2.54648190e+01  3.14009955e+00 
 2.60520309e+01 -2.38440349e+01  2.60520309e+01  3.14006512e+00 
 2.66527837e+01 -2.38440356e+01  2.66527837e+01  3.14002990e+00 
 2.72673897e+01 -2.38440363e+01  2.72673897e+01  3.13999386e+00 
 2.78961683e+01 -2.38440370e+01  2.78961683e+01  3.13995699e+00 
