 0.00000000e+00  1.41015351e+00  0.00000000e+00 -2.86699819e-04 
 1.00000000e-12  1.41015209e+00  1.00000000e-12 -2.87430343e-04 
 2.00000000e-12  1.41015069e+00  2.00000000e-12 -2.87429811e-04 
 4.00000000e-12  1.41014793e+00  4.00000000e-12 -2.87428748e-04 
 8.00000000e-12  1.41014263e+00  8.00000000e-12 -2.87426637e-04 
 1.60000000e-11  1.41013286e+00  1.60000000e-11 -2.87422474e-04 
 3.20000000e-11  1.41011656e+00  3.20000000e-11 -2.87414371e-04 
 6.40000000e-11  1.41009598e+00  6.40000000e-11 -2.87399010e-04 
 1.28000000e-10  1.41009519e+00  1.28000000e-10 -2.87371271e-04 
 2.28000000e-10  1.41016849e+00  2.28000000e-10 -2.87334390e-04 
 3.28000000e-10  1.41028324e+00  3.28000000e-10 -2.87303481e-04 
 4.28000000e-10  1.41038032e+00  4.28000000e-10 -2.87276670e-04 
 5.28000000e-10  1.41040212e+00  5.28000000e-10 -2.87252535e-04 
 6.28000000e-10  1.41029238e+00  6.28000000e-10 -2.87230008e-04 
 7.28000000e-10  1.40999614e+00  7.28000000e-10 -2.87208294e-04 
 8.28000000e-10  1.40945968e+00  8.28000000e-10 -2.87186815e-04 
 9.28000000e-10  1.40863047e+00  9.28000000e-10 -2.87165164e-04 
 1.02800000e-09  1.40745713e+00  1.02800000e-09 -2.87143078e-04 
 1.12800000e-09  1.40588933e+00  1.12800000e-09 -2.87120413e-04 
 1.22800000e-09  1.40387781e+00  1.22800000e-09 -2.87097133e-04 
 1.32800000e-09  1.40137432e+00  1.32800000e-09 -2.87073305e-04 
 1.42800000e-09  1.39833156e+00  1.42800000e-09 -2.87049099e-04 
 1.52800000e-09  1.39470318e+00  1.52800000e-09 -2.87024801e-04 
 1.62800000e-09  1.39044374e+00  1.62800000e-09 -2.87000825e-04 
 1.72800000e-09  1.38550865e+00  1.72800000e-09 -2.86977745e-04 
 1.82800000e-09  1.37985416e+00  1.82800000e-09 -2.86956326e-04 
 1.92800000e-09  1.37343731e+00  1.92800000e-09 -2.86937577e-04 
 2.02800000e-09  1.36621589e+00  2.02800000e-09 -2.86922816e-04 
 2.12800000e-09  1.35814844e+00  2.12800000e-09 -2.86913758e-04 
 2.22800000e-09  1.34919419e+00  2.22800000e-09 -2.86912625e-04 
 2.32800000e-09  1.33931306e+00  2.32800000e-09 -2.86922297e-04 
 2.42800000e-09  1.32846563e+00  2.42800000e-09 -2.86946503e-04 
 2.52800000e-09  1.31661317e+00  2.52800000e-09 -2.86990069e-04 
 2.62800000e-09  1.30371766e+00  2.62800000e-09 -2.87059244e-04 
 2.72800000e-09  1.28974181e+00  2.72800000e-09 -2.87162119e-04 
 2.82800000e-09  1.27464908e+00  2.82800000e-09 -2.87309175e-04 
 2.92800000e-09  1.25840376e+00  2.92800000e-09 -2.87513983e-04 
 3.02800000e-09  1.24097099e+00  3.02800000e-09 -2.87794107e-04 
 3.12800000e-09  1.22231678e+00  3.12800000e-09 -2.88172241e-04 
 3.22800000e-09  1.20240805e+00  3.22800000e-09 -2.88677595e-04 
 3.32800000e-09  1.18121264e+00  3.32800000e-09 -2.89347478e-04 
 3.42800000e-09  1.15869944e+00  3.42800000e-09 -2.90228698e-04 
 3.52800000e-09  1.13483862e+00  3.52800000e-09 -2.91377145e-04 
 3.62800000e-09  1.10960223e+00  3.62800000e-09 -2.92847933e-04 
 3.72800000e-09  1.08296578e+00  3.72800000e-09 -2.94646394e-04 
 3.82800000e-09  1.05491133e+00  3.82800000e-09 -2.96665399e-04 
 3.92800000e-09  1.02543085e+00  3.92800000e-09 -2.98820136e-04 
 4.02800000e-09  9.94531476e-01  4.02800000e-09 -3.01119421e-04 
 4.12800000e-09  9.62257638e-01  4.12800000e-09 -3.03566770e-04 
 4.22800000e-09  9.28732030e-01  4.22800000e-09 -3.05822335e-04 
 4.32800000e-09  8.94171925e-01  4.32800000e-09 -3.07310944e-04 
 4.42800000e-09  8.58873807e-01  4.42800000e-09 -3.07691577e-04 
 4.52800000e-09  8.23209873e-01  4.52800000e-09 -3.07030493e-04 
 4.62800000e-09  7.87658022e-01  4.62800000e-09 -3.05511520e-04 
 4.72800000e-09  7.52834072e-01  4.72800000e-09 -3.03447852e-04 
 4.82800000e-09  7.19429797e-01  4.82800000e-09 -3.00799777e-04 
 4.92800000e-09  6.87976637e-01  4.92800000e-09 -2.96690705e-04 
 5.02800000e-09  6.58623546e-01  5.02800000e-09 -2.90664054e-04 
 5.12800000e-09  6.31190607e-01  5.12800000e-09 -2.83235370e-04 
 5.22800000e-09  6.05405961e-01  5.22800000e-09 -2.75481951e-04 
 5.32800000e-09  5.81138812e-01  5.32800000e-09 -2.67855762e-04 
 5.42800000e-09  5.58502964e-01  5.42800000e-09 -2.60780407e-04 
 5.52800000e-09  5.37896526e-01  5.52800000e-09 -2.54173856e-04 
 5.62800000e-09  5.20094655e-01  5.62800000e-09 -2.47872895e-04 
 5.72800000e-09  5.06499418e-01  5.72800000e-09 -2.41527840e-04 
 5.82800000e-09  4.99762812e-01  5.82800000e-09 -2.34622881e-04 
 5.92800000e-09  5.04522614e-01  5.92800000e-09 -2.25873561e-04 
 6.02800000e-09  5.26144215e-01  6.02800000e-09 -2.15215233e-04 
 6.12800000e-09  5.67055392e-01  6.12800000e-09 -2.03633562e-04 
 6.22800000e-09  6.26119839e-01  6.22800000e-09 -1.92163198e-04 
 6.32800000e-09  7.01095555e-01  6.32800000e-09 -1.81261707e-04 
 6.42800000e-09  7.89985280e-01  6.42800000e-09 -1.71393282e-04 
 6.52800000e-09  8.91020310e-01  6.52800000e-09 -1.62522956e-04 
 6.62800000e-09  1.00231779e+00  6.62800000e-09 -1.54543246e-04 
 6.72800000e-09  1.12182012e+00  6.72800000e-09 -1.47542186e-04 
 6.82800000e-09  1.24748477e+00  6.82800000e-09 -1.41919443e-04 
 6.92800000e-09  1.37738528e+00  6.92800000e-09 -1.37757602e-04 
 7.02800000e-09  1.50965819e+00  7.02800000e-09 -1.35071074e-04 
 7.12800000e-09  1.64231696e+00  7.12800000e-09 -1.33494456e-04 
 7.22800000e-09  1.77317311e+00  7.22800000e-09 -1.32739835e-04 
 7.32800000e-09  1.90008750e+00  7.32800000e-09 -1.32415002e-04 
 7.42800000e-09  2.02148262e+00  7.42800000e-09 -1.32309842e-04 
 7.52800000e-09  2.13773178e+00  7.52800000e-09 -1.32217431e-04 
 7.62800000e-09  2.25437383e+00  7.62800000e-09 -1.31140611e-04 
 7.72800000e-09  2.36976688e+00  7.72800000e-09 -1.30223712e-04 
 7.82800000e-09  2.47676628e+00  7.82800000e-09 -1.31673929e-04 
 7.92800000e-09  2.57521745e+00  7.92800000e-09 -1.32541015e-04 
 8.02800000e-09  2.66582076e+00  8.02800000e-09 -1.34047253e-04 
 8.12800000e-09  2.74951433e+00  8.12800000e-09 -1.36353360e-04 
 8.22800000e-09  2.82706760e+00  8.22800000e-09 -1.39838481e-04 
 8.32800000e-09  2.89883904e+00  8.32800000e-09 -1.41370466e-04 
 8.42800000e-09  2.96338838e+00  8.42800000e-09 -1.39957471e-04 
 8.52800000e-09  3.01766782e+00  8.52800000e-09 -1.35588666e-04 
 8.62800000e-09  3.06351570e+00  8.62800000e-09 -1.30822839e-04 
 8.72800000e-09  3.10440293e+00  8.72800000e-09 -1.24380130e-04 
 8.82800000e-09  3.14231516e+00  8.82800000e-09 -1.18224723e-04 
 8.92800000e-09  3.17779945e+00  8.92800000e-09 -1.10463389e-04 
 9.02800000e-09  3.21023350e+00  9.02800000e-09 -1.01037771e-04 
 9.12800000e-09  3.24131971e+00  9.12800000e-09 -9.20120843e-05 
