 0.00000000e+00  3.29997421e+00  0.00000000e+00  3.29997421e+00  0.00000000e+00  3.29997471e+00  0.00000000e+00  3.29997471e+00  0.00000000e+00 -4.00000000e-01  0.00000000e+00  0.00000000e+00 
 2.00000000e-10  3.29997421e+00  2.00000000e-10  3.29997421e+00  2.00000000e-10  3.29997471e+00  2.00000000e-10  3.29997471e+00  2.00000000e-10 -3.99998404e-01  2.00000000e-10 -7.18702441e-13 
 4.00000000e-10  3.29997421e+00  4.00000000e-10  3.29997421e+00  4.00000000e-10  3.29997471e+00  4.00000000e-10  3.29997471e+00  4.00000000e-10 -3.99996804e-01  4.00000000e-10 -5.65506409e-13 
 8.00000000e-10  3.29997421e+00  8.00000000e-10  3.29997421e+00  8.00000000e-10  3.29997471e+00  8.00000000e-10  3.29997471e+00  8.00000000e-10 -3.99993604e-01  8.00000000e-10 -5.16747235e-13 
 1.60000000e-09  3.29997421e+00  1.60000000e-09  3.29997421e+00  1.60000000e-09  3.29997471e+00  1.60000000e-09  3.29997471e+00  1.60000000e-09 -3.99987204e-01  1.60000000e-09 -5.33033253e-13 
 3.20000000e-09  3.29997421e+00  3.20000000e-09  3.29997421e+00  3.20000000e-09  3.29997471e+00  3.20000000e-09  3.29997471e+00  3.20000000e-09 -3.99974404e-01  3.20000000e-09 -5.50991978e-13 
 6.40000000e-09  3.29997421e+00  6.40000000e-09  3.29997421e+00  6.40000000e-09  3.29997471e+00  6.40000000e-09  3.29997471e+00  6.40000000e-09 -3.99948804e-01  6.40000000e-09 -5.76212092e-13 
 1.28000000e-08  3.29997421e+00  1.28000000e-08  3.29997421e+00  1.28000000e-08  3.29997471e+00  1.28000000e-08  3.29997471e+00  1.28000000e-08 -3.99897604e-01  1.28000000e-08 -6.28072044e-13 
 2.00000000e-08  3.29997421e+00  2.00000000e-08  3.29997421e+00  2.00000000e-08  3.29997471e+00  2.00000000e-08  3.29997471e+00  2.00000000e-08 -3.99840004e-01  2.00000000e-08 -6.84716159e-13 
 2.00100000e-08  3.30069934e+00  2.00100000e-08  3.30069927e+00  2.00100000e-08  3.30523416e+00  2.00100000e-08  3.30523366e+00  2.00100000e-08 -3.99845308e-01  2.00100000e-08  2.70399757e-01 
 2.00300000e-08  3.30251129e+00  2.00300000e-08  3.30251113e+00  2.00300000e-08  3.30906142e+00  2.00300000e-08  3.30906102e+00  2.00300000e-08 -3.99847128e-01  2.00300000e-08  9.05379601e-01 
 2.00427591e-08  3.30368078e+00  2.00427591e-08  3.30368061e+00  2.00427591e-08  3.30955674e+00  2.00427591e-08  3.30955666e+00  2.00427591e-08 -3.99835697e-01  2.00427591e-08  1.30834647e+00 
 2.00576104e-08  3.30506766e+00  2.00576104e-08  3.30509463e+00  2.00576104e-08  3.31106269e+00  2.00576104e-08  3.31126551e+00  2.00576104e-08 -3.89930925e-01  2.00576104e-08  1.79017130e+00 
 2.00713240e-08  3.30634888e+00  2.00713240e-08  3.30630641e+00  2.00713240e-08  3.31229886e+00  2.00713240e-08  3.31173687e+00  2.00713240e-08 -3.95901987e-01  2.00713240e-08  2.22912744e+00 
 2.00861952e-08  3.30752916e+00  2.00861952e-08  3.30728202e+00  2.00861952e-08  3.31213977e+00  2.00861952e-08  3.31073456e+00  2.00861952e-08 -4.00061322e-01  2.00861952e-08  2.72364164e+00 
 2.01000000e-08  3.30780538e+00  2.01000000e-08  3.30718826e+00  2.01000000e-08  3.30734366e+00  2.01000000e-08  3.30463376e+00  2.01000000e-08 -3.98209787e-01  2.01000000e-08  3.20003526e+00 
 2.01002589e-08  3.30780438e+00  2.01002589e-08  3.30717919e+00  2.01002589e-08  3.30747953e+00  2.01002589e-08  3.30482861e+00  2.01002589e-08 -3.98197396e-01  2.01002589e-08  3.20786831e+00 
 2.01007766e-08  3.30780297e+00  2.01007766e-08  3.30716219e+00  2.01007766e-08  3.30764379e+00  2.01007766e-08  3.30509556e+00  2.01007766e-08 -3.98178941e-01  2.01007766e-08  3.22183734e+00 
 2.01011978e-08  3.30780213e+00  2.01011978e-08  3.30714920e+00  2.01011978e-08  3.30769153e+00  2.01011978e-08  3.30520917e+00  2.01011978e-08 -3.98167197e-01  2.01011978e-08  3.23148692e+00 
 2.01018187e-08  3.30780085e+00  2.01018187e-08  3.30713069e+00  2.01018187e-08  3.30768067e+00  2.01018187e-08  3.30526864e+00  2.01018187e-08 -3.98151488e-01  2.01018187e-08  3.24327740e+00 
 2.01024954e-08  3.30779891e+00  2.01024954e-08  3.30711069e+00  2.01024954e-08  3.30761452e+00  2.01024954e-08  3.30524851e+00  2.01024954e-08 -3.98134721e-01  2.01024954e-08  3.25343459e+00 
 2.01038489e-08  3.30779266e+00  2.01038489e-08  3.30706928e+00  2.01038489e-08  3.30744667e+00  2.01038489e-08  3.30509953e+00  2.01038489e-08 -3.98102622e-01  2.01038489e-08  3.26793196e+00 
 2.01065558e-08  3.30777432e+00  2.01065558e-08  3.30697188e+00  2.01065558e-08  3.30725641e+00  2.01065558e-08  3.30449610e+00  2.01065558e-08 -3.98063539e-01  2.01065558e-08  3.28393919e+00 
 2.01111263e-08  3.30780455e+00  2.01111263e-08  3.30659158e+00  2.01111263e-08  3.30867362e+00  2.01111263e-08  3.29965006e+00  2.01111263e-08 -3.98494711e-01  2.01111263e-08  3.29456247e+00 
 2.01202674e-08  3.30766815e+00  2.01202674e-08  3.30530156e+00  2.01202674e-08  3.30591626e+00  2.01202674e-08  3.29389115e+00  2.01202674e-08 -3.99495155e-01  2.01202674e-08  3.30007508e+00 
 2.01329978e-08  3.30600272e+00  2.01329978e-08  3.30386284e+00  2.01329978e-08  3.29357269e+00  2.01329978e-08  3.29756363e+00  2.01329978e-08 -4.00288726e-01  2.01329978e-08  3.30075625e+00 
 2.01461377e-08  3.30270867e+00  2.01461377e-08  3.30307704e+00  2.01461377e-08  3.28295722e+00  2.01461377e-08  3.30094803e+00  2.01461377e-08 -4.00853567e-01  2.01461377e-08  3.30026213e+00 
 2.01724176e-08  3.29314989e+00  2.01724176e-08  3.30211126e+00  2.01724176e-08  3.26529540e+00  2.01724176e-08  3.30077915e+00  2.01724176e-08 -4.00376330e-01  2.01724176e-08  3.29999856e+00 
 2.02017992e-08  3.28194135e+00  2.02017992e-08  3.29942665e+00  2.02017992e-08  3.25714791e+00  2.02017992e-08  3.29184295e+00  2.02017992e-08 -3.99993702e-01  2.02017992e-08  3.29997483e+00 
 2.02286078e-08  3.27217272e+00  2.02286078e-08  3.29571756e+00  2.02286078e-08  3.24966579e+00  2.02286078e-08  3.28551484e+00  2.02286078e-08 -3.99856755e-01  2.02286078e-08  3.29998500e+00 
 2.02822250e-08  3.25319744e+00  2.02822250e-08  3.28731280e+00  2.02822250e-08  3.23138859e+00  2.02822250e-08  3.27659203e+00  2.02822250e-08 -3.99799719e-01  2.02822250e-08  3.29999131e+00 
 2.03334399e-08  3.23517395e+00  2.03334399e-08  3.27907383e+00  2.03334399e-08  3.21318921e+00  2.03334399e-08  3.26876860e+00  2.03334399e-08 -3.99824528e-01  2.03334399e-08  3.29998650e+00 
 2.04357330e-08  3.19893981e+00  2.04357330e-08  3.26271953e+00  2.04357330e-08  3.17681458e+00  2.04357330e-08  3.25268650e+00  2.04357330e-08 -3.99844690e-01  2.04357330e-08  3.29998252e+00 
 2.06403192e-08  3.12570109e+00  2.06403192e-08  3.22999963e+00  2.06403192e-08  3.10358489e+00  2.06403192e-08  3.21998949e+00  2.06403192e-08 -3.99845169e-01  2.06403192e-08  3.29998244e+00 
 2.10494915e-08  2.97678111e+00  2.10494915e-08  3.16403175e+00  2.10494915e-08  2.95473531e+00  2.10494915e-08  3.15402032e+00  2.10494915e-08 -3.99840749e-01  2.10494915e-08  3.29998286e+00 
 2.18678361e-08  2.67204966e+00  2.18678361e-08  3.03016926e+00  2.18678361e-08  2.65019158e+00  2.18678361e-08  3.02019822e+00  2.18678361e-08 -3.99834249e-01  2.18678361e-08  3.29998272e+00 
 2.35045253e-08  2.05472396e+00  2.35045253e-08  2.80113979e+00  2.35045253e-08  2.03357506e+00  2.35045253e-08  2.79391517e+00  2.35045253e-08 -3.99823380e-01  2.35045253e-08  3.29998264e+00 
 2.48374647e-08  1.55116349e+00  2.48374647e-08  2.75399973e+00  2.48374647e-08  1.53017582e+00  2.48374647e-08  2.75473571e+00  2.48374647e-08 -3.99847979e-01  2.48374647e-08  3.29998018e+00 
 2.63479838e-08  1.01920980e+00  2.63479838e-08  2.86497070e+00  2.63479838e-08  1.00011138e+00  2.63479838e-08  2.87268617e+00  2.63479838e-08 -3.99818068e-01  2.63479838e-08  3.29997846e+00 
 2.74612338e-08  6.92670614e-01  2.74612338e-08  2.99221061e+00  2.74612338e-08  6.77124740e-01  2.74612338e-08  3.00008359e+00  2.74612338e-08 -3.99733047e-01  2.74612338e-08  3.29998217e+00 
 2.85563847e-08  4.47123762e-01  2.85563847e-08  3.10283687e+00  2.85563847e-08  4.35786299e-01  2.85563847e-08  3.10861675e+00  2.85563847e-08 -3.99716697e-01  2.85563847e-08  3.29998574e+00 
 2.98598696e-08  2.49888113e-01  2.98598696e-08  3.19457014e+00  2.98598696e-08  2.42977312e-01  2.98598696e-08  3.19793751e+00  2.98598696e-08 -3.99731025e-01  2.98598696e-08  3.29998870e+00 
