 0.00000000e+00  3.29997950e+00  0.00000000e+00  3.29997950e+00  0.00000000e+00  3.29998000e+00  0.00000000e+00  3.29998000e+00  0.00000000e+00 -4.00000000e-01  0.00000000e+00  0.00000000e+00 
 2.00000000e-10  3.29997950e+00  2.00000000e-10  3.29997950e+00  2.00000000e-10  3.29998000e+00  2.00000000e-10  3.29998000e+00  2.00000000e-10 -3.99998413e-01  2.00000000e-10 -1.13654572e-12 
 4.00000000e-10  3.29997950e+00  4.00000000e-10  3.29997950e+00  4.00000000e-10  3.29998000e+00  4.00000000e-10  3.29998000e+00  4.00000000e-10 -3.99996813e-01  4.00000000e-10  4.72933324e-13 
 8.00000000e-10  3.29997950e+00  8.00000000e-10  3.29997950e+00  8.00000000e-10  3.29998000e+00  8.00000000e-10  3.29998000e+00  8.00000000e-10 -3.99993613e-01  8.00000000e-10  5.21681223e-13 
 1.60000000e-09  3.29997950e+00  1.60000000e-09  3.29997950e+00  1.60000000e-09  3.29998000e+00  1.60000000e-09  3.29998000e+00  1.60000000e-09 -3.99987213e-01  1.60000000e-09 -2.68406391e-13 
 3.20000000e-09  3.29997950e+00  3.20000000e-09  3.29997950e+00  3.20000000e-09  3.29998000e+00  3.20000000e-09  3.29998000e+00  3.20000000e-09 -3.99974413e-01  3.20000000e-09 -3.61299640e-13 
 6.40000000e-09  3.29997950e+00  6.40000000e-09  3.29997950e+00  6.40000000e-09  3.29998000e+00  6.40000000e-09  3.29998000e+00  6.40000000e-09 -3.99948813e-01  6.40000000e-09 -3.51674636e-13 
 1.28000000e-08  3.29997950e+00  1.28000000e-08  3.29997950e+00  1.28000000e-08  3.29998000e+00  1.28000000e-08  3.29998000e+00  1.28000000e-08 -3.99897613e-01  1.28000000e-08 -3.53665149e-13 
 2.00000000e-08  3.29997950e+00  2.00000000e-08  3.29997950e+00  2.00000000e-08  3.29998000e+00  2.00000000e-08  3.29998000e+00  2.00000000e-08 -3.99840013e-01  2.00000000e-08 -3.58778952e-13 
 2.00100000e-08  3.30083431e+00  2.00100000e-08  3.30083414e+00  2.00100000e-08  3.30618005e+00  2.00100000e-08  3.30617884e+00  2.00100000e-08 -3.99860234e-01  2.00100000e-08  2.69774313e-01 
 2.00300000e-08  3.30308611e+00  2.00300000e-08  3.30308561e+00  2.00300000e-08  3.31141378e+00  2.00300000e-08  3.31141219e+00  2.00300000e-08 -3.99859961e-01  2.00300000e-08  9.08666682e-01 
 2.00608066e-08  3.30677581e+00  2.00608066e-08  3.30677522e+00  2.00608066e-08  3.31469577e+00  2.00608066e-08  3.31469550e+00  2.00608066e-08 -3.99826104e-01  2.00608066e-08  1.92286899e+00 
