 7.80487000e-11  5.38433658e-05  7.80487000e-11 -5.76757495e-07 
 1.56097400e-10  1.07683263e-04  1.56097400e-10 -5.76775680e-07 
 3.12194800e-10  2.15353281e-04  3.12194800e-10 -5.76780871e-07 
 6.24389600e-10  4.30655778e-04  6.24389600e-10 -5.76790534e-07 
 1.24877920e-09  8.61126527e-04  1.24877920e-09 -5.76668196e-07 
 2.12204014e-09  1.46291544e-03  2.12204014e-09 -5.76495685e-07 
 3.44107870e-09  2.37141882e-03  3.44107870e-09 -5.76191728e-07 
 5.85036673e-09  4.02962925e-03  5.85036673e-09 -5.75699430e-07 
 7.80487000e-09  5.37387837e-03  7.80487000e-09 -5.75276873e-07 
 8.28672761e-09  5.70516962e-03  8.28672761e-09 -5.75235702e-07 
 9.25044282e-09  6.36762282e-03  9.25044282e-09 -5.74938124e-07 
 1.11778732e-08  7.69203678e-03  1.11778732e-08 -5.74644032e-07 
 1.50327341e-08  1.03390337e-02  1.50327341e-08 -5.73766832e-07 
 2.27424558e-08  1.56263309e-02  2.27424558e-08 -5.72342586e-07 
 3.05473258e-08  2.09704238e-02  3.05473258e-08 -5.70749163e-07 
 3.83521958e-08  2.63064440e-02  3.83521958e-08 -5.69384304e-07 
 4.61570658e-08  3.16346876e-02  4.61570658e-08 -5.67864853e-07 
 5.39619358e-08  3.69553929e-02  5.39619358e-08 -5.66571073e-07 
 6.17668058e-08  4.22687669e-02  6.17668058e-08 -5.65120419e-07 
 6.95716758e-08  4.75749957e-02  6.95716758e-08 -5.63893531e-07 
 7.73765458e-08  5.28742496e-02  7.73765458e-08 -5.62508157e-07 
 8.51814158e-08  5.81666856e-02  8.51814158e-08 -5.61345219e-07 
 9.29862858e-08  6.34524480e-02  9.29862858e-08 -5.60022769e-07 
 1.00791156e-07  6.87316692e-02  1.00791156e-07 -5.58922069e-07 
 1.08596026e-07  7.40044688e-02  1.08596026e-07 -5.57661579e-07 
 1.16400896e-07  7.92709522e-02  1.16400896e-07 -5.56623061e-07 
 1.24205766e-07  8.45312085e-02  1.24205766e-07 -5.55425611e-07 
 1.32010636e-07  8.97853061e-02  1.32010636e-07 -5.54451818e-07 
 1.39815506e-07  9.50332873e-02  1.39815506e-07 -5.53321902e-07 
 1.47620376e-07  1.00275159e-01  1.47620376e-07 -5.52419999e-07 
 1.55425246e-07  1.05510880e-01  1.55425246e-07 -5.51368478e-07 
 1.63230116e-07  1.10740343e-01  1.63230116e-07 -5.50554427e-07 
 1.71034986e-07  1.15963347e-01  1.71034986e-07 -5.49604181e-07 
 1.78839856e-07  1.21179561e-01  1.78839856e-07 -5.48910024e-07 
 1.86644726e-07  1.26388471e-01  1.86644726e-07 -5.48104933e-07 
 1.94449596e-07  1.31589302e-01  1.94449596e-07 -5.47589505e-07 
 2.02254466e-07  1.36780914e-01  2.02254466e-07 -5.47006953e-07 
 2.10059336e-07  1.41961651e-01  2.10059336e-07 -5.46770252e-07 
 2.17864206e-07  1.47129135e-01  2.17864206e-07 -5.46537259e-07 
 2.25669076e-07  1.52279971e-01  2.25669076e-07 -5.46737732e-07 
 2.33203549e-07  1.57232100e-01  2.33203549e-07 -5.47031236e-07 
 2.40191579e-07  1.61802038e-01  2.40191579e-07 -5.47791261e-07 
 2.46895021e-07  1.66158772e-01  2.46895021e-07 -5.48655551e-07 
 2.53380157e-07  1.70340910e-01  2.53380157e-07 -5.50035684e-07 
 2.60552707e-07  1.74916974e-01  2.60552707e-07 -5.51815436e-07 
 2.67444181e-07  1.79249636e-01  2.67444181e-07 -5.54274836e-07 
 2.74493986e-07  1.83594860e-01  2.74493986e-07 -5.57192014e-07 
 2.81744966e-07  1.87940853e-01  2.81744966e-07 -5.61186788e-07 
 2.87754547e-07  1.91418465e-01  2.87754547e-07 -5.64978056e-07 
 2.92986211e-07  1.94326756e-01  2.92986211e-07 -5.69028816e-07 
 2.97916544e-07  1.96939366e-01  2.97916544e-07 -5.73190128e-07 
 3.02862555e-07  1.99404473e-01  3.02862555e-07 -5.78174172e-07 
 3.08162573e-07  2.01828994e-01  3.08162573e-07 -5.84048278e-07 
 3.13315095e-07  2.03916489e-01  3.13315095e-07 -5.90818027e-07 
 3.18208245e-07  2.05589687e-01  3.18208245e-07 -5.97968167e-07 
