 6.54371000e-11  5.45472241e-05  6.54371000e-11 -6.90751448e-07 
 1.30874200e-10  1.09091993e-04  1.30874200e-10 -6.90771283e-07 
 2.61748400e-10  2.18174603e-04  2.61748400e-10 -6.90771330e-07 
 5.23496800e-10  4.36313048e-04  5.23496800e-10 -6.90775522e-07 
 1.04699360e-09  8.72493042e-04  1.04699360e-09 -6.90611367e-07 
 1.77345168e-09  1.47759138e-03  1.77345168e-09 -6.90393568e-07 
 2.88929615e-09  2.40665218e-03  2.88929615e-09 -6.90007844e-07 
 4.95854087e-09  4.12850064e-03  4.95854087e-09 -6.89383412e-07 
 6.54371000e-09  5.44676063e-03  6.54371000e-09 -6.88880624e-07 
 6.95755894e-09  5.79082332e-03  6.95755894e-09 -6.88828767e-07 
 7.78525683e-09  6.47882630e-03  7.78525683e-09 -6.88455355e-07 
 9.44065261e-09  7.85435845e-03  9.44065261e-09 -6.88087769e-07 
 1.27514442e-08  1.06036180e-02  1.27514442e-08 -6.86992032e-07 
 1.92951542e-08  1.60308075e-02  1.92951542e-08 -6.85242588e-07 
 2.58388642e-08  2.14495925e-02  2.58388642e-08 -6.83305570e-07 
 3.23825742e-08  2.68603138e-02  3.23825742e-08 -6.81654453e-07 
 3.89262842e-08  3.22632278e-02  3.89262842e-08 -6.79809144e-07 
 4.54699942e-08  3.76585494e-02  4.54699942e-08 -6.78245627e-07 
 5.20137042e-08  4.30464627e-02  5.20137042e-08 -6.76484835e-07 
 5.85574142e-08  4.84271207e-02  5.85574142e-08 -6.75003305e-07 
 6.51011242e-08  5.38006380e-02  6.51011242e-08 -6.73322414e-07 
 7.16448342e-08  5.91670766e-02  7.16448342e-08 -6.71919096e-07 
 7.81885442e-08  6.45264233e-02  7.81885442e-08 -6.70315179e-07 
 8.47322542e-08  6.98785544e-02  8.47322542e-08 -6.68988124e-07 
 9.12759642e-08  7.52231813e-02  9.12759642e-08 -6.67460419e-07 
 9.78196742e-08  8.05597693e-02  9.78196742e-08 -6.66210354e-07 
 1.04363384e-07  8.58874159e-02  1.04363384e-07 -6.64761501e-07 
 1.10907094e-07  9.12046694e-02  1.10907094e-07 -6.63593569e-07 
 1.17450804e-07  9.65092590e-02  1.17450804e-07 -6.62232072e-07 
 1.23994514e-07  1.01797697e-01  1.23994514e-07 -6.61159423e-07 
 1.30538224e-07  1.07064690e-01  1.30538224e-07 -6.59904999e-07 
 1.37081934e-07  1.12302282e-01  1.37081934e-07 -6.58956755e-07 
 1.43625644e-07  1.17498595e-01  1.43625644e-07 -6.57851961e-07 
 1.50169354e-07  1.22636013e-01  1.50169354e-07 -6.57089598e-07 
 1.56713064e-07  1.27688554e-01  1.56713064e-07 -6.56221979e-07 
 1.63256774e-07  1.32618126e-01  1.63256774e-07 -6.55768158e-07 
 1.69800484e-07  1.37369226e-01  1.69800484e-07 -6.55306736e-07 
 1.76344194e-07  1.41861515e-01  1.76344194e-07 -6.55390605e-07 
 1.82887904e-07  1.45979577e-01  1.82887904e-07 -6.55641131e-07 
 1.88721077e-07  1.49206194e-01  1.88721077e-07 -6.56547051e-07 
 1.94164829e-07  1.51694089e-01  1.94164829e-07 -6.57629412e-07 
 1.99358654e-07  1.53434579e-01  1.99358654e-07 -6.59445472e-07 
 2.04873347e-07  1.54377871e-01  2.04873347e-07 -6.61804788e-07 
 2.09900234e-07  1.54179981e-01  2.09900234e-07 -6.64981709e-07 
 2.14730015e-07  1.52756494e-01  2.14730015e-07 -6.68565023e-07 
 2.19160987e-07  1.50108723e-01  2.19160987e-07 -6.72944307e-07 
 2.23270466e-07  1.46230972e-01  2.23270466e-07 -6.77526113e-07 
 2.27148622e-07  1.41047263e-01  2.27148622e-07 -6.82931283e-07 
 2.30837448e-07  1.34476908e-01  2.30837448e-07 -6.88597530e-07 
 2.34356847e-07  1.26454984e-01  2.34356847e-07 -6.95099624e-07 
 2.37721674e-07  1.16927712e-01  2.37721674e-07 -7.01844343e-07 
 2.40946734e-07  1.05847868e-01  2.40946734e-07 -7.09379145e-07 
 2.44407501e-07  9.15672413e-02  2.44407501e-07 -7.18037223e-07 
 2.48028390e-07  7.37722303e-02  2.48028390e-07 -7.28131764e-07 
 2.51406022e-07  5.48489000e-02  2.51406022e-07 -7.36569792e-07 
 2.52644130e-07  4.75664115e-02  2.52644130e-07 -7.38939703e-07 
 2.53768325e-07  4.10289949e-02  2.53768325e-07 -7.39882392e-07 
 2.54864557e-07  3.48993230e-02  2.54864557e-07 -7.40273222e-07 
 2.56005887e-07  2.89594586e-02  2.56005887e-07 -7.39394463e-07 
 2.57311539e-07  2.29186067e-02  2.57311539e-07 -7.37933501e-07 
 2.58535063e-07  1.81062500e-02  2.58535063e-07 -7.35741981e-07 
 2.60005907e-07  1.34497820e-02  2.60005907e-07 -7.33520459e-07 
 2.61046738e-07  1.08579302e-02  2.61046738e-07 -7.31868400e-07 
 2.61860162e-07  9.19367913e-03  2.61860162e-07 -7.31238609e-07 
 2.62737121e-07  7.71018018e-03  2.62737121e-07 -7.30434482e-07 
 2.63703205e-07  6.39576041e-03  2.63703205e-07 -7.30395327e-07 
 2.64752199e-07  5.28362038e-03  2.64752199e-07 -7.30391982e-07 
 2.65792409e-07  4.44180154e-03  2.65792409e-07 -7.31280239e-07 
 2.66895658e-07  3.76941998e-03  2.66895658e-07 -7.32251722e-07 
 2.68032269e-07  3.25674879e-03  2.68032269e-07 -7.34121143e-07 
 2.69272787e-07  2.84913487e-03  2.69272787e-07 -7.36159032e-07 
 2.70596952e-07  2.53714018e-03  2.70596952e-07 -7.39205116e-07 
 2.72079022e-07  2.28816796e-03  2.72079022e-07 -7.42627972e-07 
 2.73721183e-07  2.09016149e-03  2.73721183e-07 -7.47387649e-07 
 2.75629852e-07  1.91988934e-03  2.75629852e-07 -7.53135701e-07 
 2.77237442e-07  1.80545931e-03  2.77237442e-07 -7.59033824e-07 
 2.78668051e-07  1.71639866e-03  2.78668051e-07 -7.64357379e-07 
 2.80001987e-07  1.64046727e-03  2.80001987e-07 -7.70262869e-07 
 2.81468319e-07  1.56276897e-03  2.81468319e-07 -7.76797419e-07 
 2.82817671e-07  1.49557092e-03  2.82817671e-07 -7.83824066e-07 
 2.84244228e-07  1.42862969e-03  2.84244228e-07 -7.91160874e-07 
 2.85753378e-07  1.36246465e-03  2.85753378e-07 -7.99868091e-07 
 2.87587910e-07  1.28916106e-03  2.87587910e-07 -8.10038880e-07 
 2.89199668e-07  1.23203973e-03  2.89199668e-07 -8.19307330e-07 
 2.90836312e-07  1.18182370e-03  2.90836312e-07 -8.27611659e-07 
 2.92764376e-07  1.13309267e-03  2.92764376e-07 -8.36927429e-07 
 2.94528766e-07  1.09812280e-03  2.94528766e-07 -8.43618994e-07 
 2.96533658e-07  1.06786657e-03  2.96533658e-07 -8.50437488e-07 
 2.98652500e-07  1.04432987e-03  2.98652500e-07 -8.55481218e-07 
