 0.00000000e+00  1.99557297e-13  0.00000000e+00  1.00372438e-24 
 1.00000000e-11  2.00686127e-03  1.00000000e-11 -3.03699227e-05 
 2.00000000e-11  4.01376841e-03  2.00000000e-11 -3.03623702e-05 
 4.00000000e-11  8.02772516e-03  4.00000000e-11 -3.03397839e-05 
 8.00000000e-11  1.60562218e-02  8.00000000e-11 -3.03174532e-05 
 1.60000000e-10  3.21155390e-02  1.60000000e-10 -3.02509722e-05 
 3.20000000e-10  6.42429665e-02  3.20000000e-10 -3.01437441e-05 
 6.40000000e-10  1.28528193e-01  6.40000000e-10 -2.99182184e-05 
 1.28000000e-09  2.57181201e-01  1.28000000e-09 -2.95345456e-05 
 2.28000000e-09  4.58141267e-01  2.28000000e-09 -2.91114309e-05 
 3.28000000e-09  6.53093616e-01  3.28000000e-09 -3.06139617e-05 
 4.28000000e-09  8.11847534e-01  4.28000000e-09 -3.69986607e-05 
 5.28000000e-09  9.23197926e-01  5.28000000e-09 -4.52713892e-05 
 6.28000000e-09  1.00683146e+00  6.28000000e-09 -5.93801510e-05 
 7.28000000e-09  1.09236043e+00  7.28000000e-09 -7.59250506e-05 
 8.28000000e-09  1.21472790e+00  8.28000000e-09 -1.04385013e-04 
 9.28000000e-09  1.47018455e+00  9.28000000e-09 -1.40564787e-04 
 1.00000000e-08  1.87307423e+00  1.00000000e-08 -1.86422083e-04 
 1.01000000e-08  1.93675036e+00  1.01000000e-08 -1.56116648e-04 
 1.03000000e-08  2.07688344e+00  1.03000000e-08 -1.63222050e-04 
 1.07000000e-08  2.35659446e+00  1.07000000e-08 -1.62939255e-04 
 1.12438202e-08  2.68549451e+00  1.12438202e-08 -1.57410090e-04 
 1.17471300e-08  2.97132185e+00  1.17471300e-08 -1.43412683e-04 
 1.21544037e-08  3.18157085e+00  1.21544037e-08 -1.09896413e-04 
 1.26088251e-08  3.34807606e+00  1.26088251e-08 -8.44242118e-05 
 1.31549990e-08  3.25422001e+00  1.31549990e-08 -9.74594770e-05 
 1.37243418e-08  2.43564587e+00  1.37243418e-08 -1.06600180e-04 
 1.42383698e-08  1.35087824e+00  1.42383698e-08 -1.34926929e-04 
 1.46948937e-08  5.76764879e-01  1.46948937e-08 -9.69722284e-05 
 1.50919700e-08  1.98830643e-01  1.50919700e-08 -7.66427005e-05 
 1.54391814e-08  8.34043189e-02  1.54391814e-08 -4.80714467e-05 
 1.58051196e-08  4.05797768e-02  1.58051196e-08 -7.71498276e-05 
 1.63297353e-08  2.86986220e-02  1.63297353e-08 -8.42472251e-05 
 1.67515539e-08  4.83973939e-02  1.67515539e-08 -1.15434263e-04 
 1.71631882e-08  5.68871375e-02  1.71631882e-08 -1.22428624e-04 
 1.76130653e-08  4.26738273e-02  1.76130653e-08 -1.20261321e-04 
 1.80268104e-08  3.33364340e-02  1.80268104e-08 -7.42094296e-05 
 1.84133535e-08  3.38707272e-02  1.84133535e-08 -5.69138066e-05 
 1.88789417e-08  2.09674061e-02  1.88789417e-08 -6.82068424e-05 
 1.93312810e-08 -8.66842136e-03  1.93312810e-08 -9.14049337e-05 
 1.98332874e-08 -8.87414209e-02  1.98332874e-08 -1.07306956e-04 
