 8.00000000e-06  8.33700661e-01 
 9.00000000e-06  8.59754146e-01 
 1.00000000e-05  8.83322179e-01 
 1.10000000e-05  9.06543343e-01 
 1.20000000e-05  9.28911261e-01 
 1.30000000e-05  9.50526731e-01 
 1.40000000e-05  9.71476943e-01 
 1.50000000e-05  9.91832917e-01 
 1.60000000e-05  1.01165384e+00 
 1.70000000e-05  1.03098970e+00 
 1.80000000e-05  1.04988314e+00 
 1.90000000e-05  1.06837094e+00 
 2.00000000e-05  1.08648505e+00 
 2.10000000e-05  1.10425342e+00 
 2.20000000e-05  1.12170073e+00 
 2.30000000e-05  1.13884880e+00 
 2.40000000e-05  1.15571710e+00 
 2.50000000e-05  1.17232306e+00 
 2.60000000e-05  1.18868235e+00 
 2.70000000e-05  1.20480911e+00 
 2.80000000e-05  1.22071614e+00 
 2.90000000e-05  1.23641508e+00 
 3.00000000e-05  1.25191654e+00 
 3.10000000e-05  1.26723021e+00 
 3.20000000e-05  1.28236497e+00 
