 1.00000000e+00 -1.81118858e-02  5.82475560e-07 
 1.16591440e+00 -1.81118858e-02  6.79116643e-07 
 1.35935639e+00 -1.81118858e-02  7.91791874e-07 
 1.58489319e+00 -1.81118858e-02  9.23161548e-07 
 1.84784980e+00 -1.81118858e-02  1.07632734e-06 
 2.15443469e+00 -1.81118857e-02  1.25490555e-06 
 2.51188643e+00 -1.81118857e-02  1.46311245e-06 
 2.92864456e+00 -1.81118857e-02  1.70586387e-06 
 3.41454887e+00 -1.81118856e-02  1.98889124e-06 
 3.98107171e+00 -1.81118855e-02  2.31887693e-06 
 4.64158883e+00 -1.81118854e-02  2.70361200e-06 
 5.41169527e+00 -1.81118853e-02  3.15218013e-06 
 6.30957344e+00 -1.81118851e-02  3.67517217e-06 
 7.35642254e+00 -1.81118848e-02  4.28493610e-06 
 8.57695899e+00 -1.81118844e-02  4.99586861e-06 
 1.00000000e+01 -1.81118839e-02  5.82475499e-06 
 1.16591440e+01 -1.81118833e-02  6.79116548e-06 
 1.35935639e+01 -1.81118823e-02  7.91791722e-06 
 1.58489319e+01 -1.81118811e-02  9.23161308e-06 
 1.84784980e+01 -1.81118794e-02  1.07632696e-05 
 2.15443469e+01 -1.81118771e-02  1.25490494e-05 
 2.51188643e+01 -1.81118739e-02  1.46311149e-05 
 2.92864456e+01 -1.81118697e-02  1.70586235e-05 
 3.41454887e+01 -1.81118639e-02  1.98888885e-05 
 3.98107171e+01 -1.81118560e-02  2.31887313e-05 
 4.64158883e+01 -1.81118453e-02  2.70360597e-05 
 5.41169527e+01 -1.81118307e-02  3.15217059e-05 
 6.30957344e+01 -1.81118109e-02  3.67515704e-05 
 7.35642254e+01 -1.81117839e-02  4.28491212e-05 
 8.57695899e+01 -1.81117473e-02  4.99583060e-05 
 1.00000000e+02 -1.81116976e-02  5.82469475e-05 
 1.16591440e+02 -1.81116299e-02  6.79107000e-05 
 1.35935639e+02 -1.81115379e-02  7.91776591e-05 
 1.58489319e+02 -1.81114129e-02  9.23137327e-05 
 1.84784980e+02 -1.81112430e-02  1.07628895e-04 
 2.15443469e+02 -1.81110120e-02  1.25484471e-04 
 2.51188643e+02 -1.81106980e-02  1.46301602e-04 
 2.92864456e+02 -1.81102712e-02  1.70571105e-04 
 3.41454887e+02 -1.81096911e-02  1.98864906e-04 
 3.98107171e+02 -1.81089026e-02  2.31849311e-04 
 4.64158883e+02 -1.81078307e-02  2.70300371e-04 
 5.41169527e+02 -1.81063740e-02  3.15121614e-04 
 6.30957344e+02 -1.81043941e-02  3.67364452e-04 
 7.35642254e+02 -1.81017034e-02  4.28251529e-04 
 8.57695899e+02 -1.80980471e-02  4.99203266e-04 
 1.00000000e+03 -1.80930792e-02  5.81867710e-04 
 1.16591440e+03 -1.80863305e-02  6.78153628e-04 
 1.35935639e+03 -1.80771647e-02  7.90266375e-04 
 1.58489319e+03 -1.80647201e-02  9.20745468e-04 
 1.84784980e+03 -1.80478311e-02  1.07250171e-03 
 2.15443469e+03 -1.80249236e-02  1.24885007e-03 
 2.51188643e+03 -1.79938778e-02  1.45353177e-03 
 2.92864456e+03 -1.79518475e-02  1.69071516e-03 
 3.41454887e+03 -1.78950288e-02  1.96495854e-03 
 3.98107171e+03 -1.78183690e-02  2.28110947e-03 
 4.64158883e+03 -1.77152135e-02  2.64410289e-03 
 5.41169527e+03 -1.75768984e-02  3.05860472e-03 
 6.30957344e+03 -1.73923234e-02  3.52843055e-03 
 7.35642254e+03 -1.71475802e-02  4.05565607e-03 
 8.57695899e+03 -1.68257808e-02  4.63933978e-03 
 1.00000000e+04 -1.64073247e-02  5.27382371e-03 
 1.16591440e+04 -1.58709480e-02  5.94670114e-03 
 1.35935639e+04 -1.51959511e-02  6.63677912e-03 
 1.58489319e+04 -1.43659001e-02  7.31271944e-03 
 1.84784980e+04 -1.33736813e-02  7.93340793e-03 
 2.15443469e+04 -1.22269892e-02  8.45119190e-03 
 2.51188643e+04 -1.09523597e-02  8.81853567e-03 
 2.92864456e+04 -9.59538042e-03  8.99718405e-03 
 3.41454887e+04 -8.21553407e-03  8.96712358e-03 
 3.98107171e+04 -6.87638682e-03  8.73178590e-03 
 4.64158883e+04 -5.63430480e-03  8.31713131e-03 
 5.41169527e+04 -4.52973511e-03  7.76504242e-03 
 6.30957344e+04 -3.58362190e-03  7.12394738e-03 
 7.35642254e+04 -2.79892792e-03  6.44016770e-03 
 8.57695899e+04 -2.16532026e-03  5.75222091e-03 
 1.00000000e+05 -1.66468671e-03  5.08849744e-03 
 1.16591440e+05 -1.27585732e-03  4.46750452e-03 
 1.35935639e+05 -9.77873382e-04  3.89951103e-03 
 1.58489319e+05 -7.51840995e-04  3.38863593e-03 
 1.84784980e+05 -5.81717512e-04  2.93480623e-03 
 2.15443469e+05 -4.54423424e-04  2.53533798e-03 
 2.51188643e+05 -3.59594032e-04  2.18609665e-03 
 2.92864456e+05 -2.89180771e-04  1.88229016e-03 
 3.41454887e+05 -2.37024269e-04  1.61897807e-03 
 3.98107171e+05 -1.98460594e-04  1.39137752e-03 
 4.64158883e+05 -1.69985337e-04  1.19503160e-03 
 5.41169527e+05 -1.48980157e-04  1.02588863e-03 
 6.30957344e+05 -1.33496822e-04  8.80326289e-04 
 7.35642254e+05 -1.22090103e-04  7.55143252e-04 
 8.57695899e+05 -1.13690311e-04  6.47533041e-04 
 1.00000000e+06 -1.07507037e-04  5.55049313e-04 
 1.16591440e+06 -1.02956975e-04  4.75568164e-04 
 1.35935639e+06 -9.96100959e-05  4.07250730e-04 
 1.58489319e+06 -9.71496521e-05  3.48507835e-04 
 1.84784980e+06 -9.53425566e-05  2.97967589e-04 
 2.15443469e+06 -9.40174901e-05  2.54446228e-04 
 2.51188643e+06 -9.30487639e-05  2.16922211e-04 
 2.92864456e+06 -9.23444531e-05  1.84513395e-04 
 3.41454887e+06 -9.18377047e-05  1.56457027e-04 
 3.98107171e+06 -9.14804071e-05  1.32092264e-04 
 4.64158883e+06 -9.12386318e-05  1.10844905e-04 
 5.41169527e+06 -9.10894153e-05  9.22140619e-05 
 6.30957344e+06 -9.10185793e-05  7.57605050e-05 
 7.35642254e+06 -9.10193832e-05  6.10964269e-05 
 8.57695899e+06 -9.10918790e-05  4.78764325e-05 
 1.00000000e+07 -9.12429066e-05  3.57895616e-05 
