 1.00000000e+00  9.99923448e-01 -3.22936849e-05 
 1.16591440e+00  9.99923447e-01 -3.76516723e-05 
 1.35935639e+00  9.99923447e-01 -4.38986269e-05 
 1.58489319e+00  9.99923446e-01 -5.11820412e-05 
 1.84784980e+00  9.99923445e-01 -5.96738789e-05 
 2.15443469e+00  9.99923444e-01 -6.95746347e-05 
 2.51188643e+00  9.99923442e-01 -8.11180684e-05 
 2.92864456e+00  9.99923440e-01 -9.45767240e-05 
 3.41454887e+00  9.99923437e-01 -1.10268364e-04 
 3.98107171e+00  9.99923432e-01 -1.28563473e-04 
 4.64158883e+00  9.99923426e-01 -1.49894004e-04 
 5.41169527e+00  9.99923418e-01 -1.74763576e-04 
 6.30957344e+00  9.99923407e-01 -2.03759368e-04 
 7.35642254e+00  9.99923392e-01 -2.37565978e-04 
 8.57695899e+00  9.99923372e-01 -2.76981590e-04 
 1.00000000e+01  9.99923344e-01 -3.22936815e-04 
 1.16591440e+01  9.99923307e-01 -3.76516670e-04 
 1.35935639e+01  9.99923256e-01 -4.38986185e-04 
 1.58489319e+01  9.99923187e-01 -5.11820280e-04 
 1.84784980e+01  9.99923092e-01 -5.96738578e-04 
 2.15443469e+01  9.99922964e-01 -6.95746013e-04 
 2.51188643e+01  9.99922790e-01 -8.11180155e-04 
 2.92864456e+01  9.99922553e-01 -9.45766401e-04 
 3.41454887e+01  9.99922232e-01 -1.10268231e-03 
 3.98107171e+01  9.99921794e-01 -1.28563262e-03 
 4.64158883e+01  9.99921200e-01 -1.49893670e-03 
 5.41169527e+01  9.99920392e-01 -1.74763047e-03 
 6.30957344e+01  9.99919293e-01 -2.03758529e-03 
 7.35642254e+01  9.99917800e-01 -2.37564649e-03 
 8.57695899e+01  9.99915770e-01 -2.76979482e-03 
 1.00000000e+02  9.99913011e-01 -3.22933476e-03 
 1.16591440e+02  9.99909260e-01 -3.76511376e-03 
 1.35935639e+02  9.99904162e-01 -4.38977796e-03 
 1.58489319e+02  9.99897231e-01 -5.11806984e-03 
 1.84784980e+02  9.99887810e-01 -5.96717506e-03 
 2.15443469e+02  9.99875004e-01 -6.95712617e-03 
 2.51188643e+02  9.99857596e-01 -8.11127226e-03 
 2.92864456e+02  9.99833933e-01 -9.45682516e-03 
 3.41454887e+02  9.99801769e-01 -1.10254937e-02 
 3.98107171e+02  9.99758050e-01 -1.28542193e-02 
 4.64158883e+02  9.99698627e-01 -1.49860279e-02 
 5.41169527e+02  9.99617860e-01 -1.74710131e-02 
 6.30957344e+02  9.99508091e-01 -2.03674672e-02 
 7.35642254e+02  9.99358914e-01 -2.37431764e-02 
 8.57695899e+02  9.99156200e-01 -2.76768917e-02 
 1.00000000e+03  9.98880773e-01 -3.22599845e-02 
 1.16591440e+03  9.98506611e-01 -3.75982808e-02 
 1.35935639e+03  9.97998443e-01 -4.38140503e-02 
 1.58489319e+03  9.97308490e-01 -5.10480891e-02 
 1.84784980e+03  9.96372128e-01 -5.94617785e-02 
 2.15443469e+03  9.95102097e-01 -6.92389071e-02 
 2.51188643e+03  9.93380858e-01 -8.05868971e-02 
 2.92864456e+03  9.91050615e-01 -9.37368504e-02 
 3.41454887e+03  9.87900474e-01 -1.08941489e-01 
