 1.00000000e+00  1.36580442e+02 -4.41463904e-03 
 1.09647820e+00  1.36580442e+02 -4.84055545e-03 
 1.20226443e+00  1.36580442e+02 -5.30756351e-03 
 1.31825674e+00  1.36580442e+02 -5.81962766e-03 
 1.44543977e+00  1.36580442e+02 -6.38109483e-03 
 1.58489319e+00  1.36580442e+02 -6.99673135e-03 
 1.73780083e+00  1.36580442e+02 -7.67176336e-03 
 1.90546072e+00  1.36580442e+02 -8.41192125e-03 
 2.08929613e+00  1.36580442e+02 -9.22348823e-03 
 2.29086765e+00  1.36580442e+02 -1.01133537e-02 
 2.51188643e+00  1.36580441e+02 -1.10890718e-02 
 2.75422870e+00  1.36580441e+02 -1.21589255e-02 
 3.01995172e+00  1.36580441e+02 -1.33319966e-02 
 3.31131121e+00  1.36580441e+02 -1.46182436e-02 
 3.63078055e+00  1.36580440e+02 -1.60285853e-02 
 3.98107171e+00  1.36580440e+02 -1.75749943e-02 
 4.36515832e+00  1.36580440e+02 -1.92705980e-02 
 4.78630092e+00  1.36580439e+02 -2.11297904e-02 
 5.24807460e+00  1.36580438e+02 -2.31683544e-02 
 5.75439937e+00  1.36580438e+02 -2.54035953e-02 
 6.30957344e+00  1.36580437e+02 -2.78544881e-02 
 6.91830971e+00  1.36580436e+02 -3.05418386e-02 
 7.58577575e+00  1.36580434e+02 -3.34884598e-02 
 8.31763771e+00  1.36580432e+02 -3.67193655e-02 
 9.12010839e+00  1.36580430e+02 -4.02619831e-02 
 1.00000000e+01  1.36580428e+02 -4.41463858e-02 
 1.09647820e+01  1.36580425e+02 -4.84055485e-02 
 1.20226443e+01  1.36580422e+02 -5.30756271e-02 
 1.31825674e+01  1.36580418e+02 -5.81962661e-02 
 1.44543977e+01  1.36580413e+02 -6.38109345e-02 
 1.58489319e+01  1.36580407e+02 -6.99672953e-02 
 1.73780083e+01  1.36580399e+02 -7.67176097e-02 
 1.90546072e+01  1.36580391e+02 -8.41191809e-02 
 2.08929613e+01  1.36580380e+02 -9.22348407e-02 
 2.29086765e+01  1.36580367e+02 -1.01133482e-01 
 2.51188643e+01  1.36580352e+02 -1.10890646e-01 
 2.75422870e+01  1.36580334e+02 -1.21589159e-01 
 3.01995172e+01  1.36580312e+02 -1.33319841e-01 
 3.31131121e+01  1.36580286e+02 -1.46182270e-01 
 3.63078055e+01  1.36580254e+02 -1.60285635e-01 
 3.98107171e+01  1.36580216e+02 -1.75749655e-01 
 4.36515832e+01  1.36580170e+02 -1.92705600e-01 
 4.78630092e+01  1.36580115e+02 -2.11297404e-01 
 5.24807460e+01  1.36580049e+02 -2.31682884e-01 
 5.75439937e+01  1.36579970e+02 -2.54035083e-01 
 6.30957344e+01  1.36579874e+02 -2.78543734e-01 
 6.91830971e+01  1.36579759e+02 -3.05416875e-01 
 7.58577575e+01  1.36579621e+02 -3.34882605e-01 
 8.31763771e+01  1.36579455e+02 -3.67191028e-01 
 9.12010839e+01  1.36579256e+02 -4.02616368e-01 
 1.00000000e+02  1.36579016e+02 -4.41459293e-01 
 1.09647820e+02  1.36578727e+02 -4.84049466e-01 
 1.20226443e+02  1.36578380e+02 -5.30748337e-01 
 1.31825674e+02  1.36577963e+02 -5.81952202e-01 
 1.44543977e+02  1.36577461e+02 -6.38095558e-01 
 1.58489319e+02  1.36576858e+02 -6.99654778e-01 
 1.73780083e+02  1.36576133e+02 -7.67152137e-01 
 1.90546072e+02  1.36575262e+02 -8.41160224e-01 
 2.08929613e+02  1.36574214e+02 -9.22306770e-01 
 2.29086765e+02  1.36572955e+02 -1.01127994e+00 
 2.51188643e+02  1.36571440e+02 -1.10883410e+00 
 2.75422870e+02  1.36569619e+02 -1.21579621e+00 
 3.01995172e+02  1.36567430e+02 -1.33307267e+00 
 3.31131121e+02  1.36564799e+02 -1.46165695e+00 
 3.63078055e+02  1.36561635e+02 -1.60263785e+00 
 3.98107171e+02  1.36557832e+02 -1.75720853e+00 
 4.36515832e+02  1.36553260e+02 -1.92667632e+00 
 4.78630092e+02  1.36547763e+02 -2.11247355e+00 
 5.24807460e+02  1.36541155e+02 -2.31616910e+00 
 5.75439937e+02  1.36533211e+02 -2.53948117e+00 
 6.30957344e+02  1.36523662e+02 -2.78429099e+00 
 6.91830971e+02  1.36512183e+02 -3.05265768e+00 
 7.58577575e+02  1.36498385e+02 -3.34683429e+00 
 8.31763771e+02  1.36481799e+02 -3.66928495e+00 
 9.12010839e+02  1.36461865e+02 -4.02270333e+00 
 1.00000000e+03  1.36437906e+02 -4.41003211e+00 
 1.09647820e+03  1.36409112e+02 -4.83448361e+00 
 1.20226443e+03  1.36374510e+02 -5.29956129e+00 
 1.31825674e+03  1.36332932e+02 -5.80908190e+00 
 1.44543977e+03  1.36282979e+02 -6.36719791e+00 
 1.58489319e+03  1.36222970e+02 -6.97841971e+00 
 1.73780083e+03  1.36150893e+02 -7.64763669e+00 
 1.90546072e+03  1.36064339e+02 -8.38013632e+00 
 2.08929613e+03  1.35960424e+02 -9.18161953e+00 
 2.29086765e+03  1.35835700e+02 -1.00582107e+01 
 2.51188643e+03  1.35686051e+02 -1.10164592e+01 
 2.75422870e+03  1.35506570e+02 -1.20633300e+01 
 3.01995172e+03  1.35291414e+02 -1.32061773e+01 
 3.31131121e+03  1.35033642e+02 -1.44526974e+01 
 3.63078055e+03  1.34725029e+02 -1.58108517e+01 
 3.98107171e+03  1.34355858e+02 -1.72887520e+01 
 4.36515832e+03  1.33914685e+02 -1.88944961e+01 
 4.78630092e+03  1.33388099e+02 -2.06359411e+01 
