 0.00000000e+00  1.52355856e+00  0.00000000e+00 -2.58646806e-04 
 1.00000000e-12  1.52355855e+00  1.00000000e-12 -2.58651366e-04 
 2.00000000e-12  1.52355855e+00  2.00000000e-12 -2.58651361e-04 
 4.00000000e-12  1.52355855e+00  4.00000000e-12 -2.58651353e-04 
 8.00000000e-12  1.52355853e+00  8.00000000e-12 -2.58651335e-04 
 1.60000000e-11  1.52355852e+00  1.60000000e-11 -2.58651301e-04 
 3.20000000e-11  1.52355849e+00  3.20000000e-11 -2.58651234e-04 
 6.40000000e-11  1.52355845e+00  6.40000000e-11 -2.58651108e-04 
 1.28000000e-10  1.52355847e+00  1.28000000e-10 -2.58650883e-04 
 2.28000000e-10  1.52355857e+00  2.28000000e-10 -2.58650595e-04 
 3.28000000e-10  1.52355858e+00  3.28000000e-10 -2.58650369e-04 
 4.28000000e-10  1.52355839e+00  4.28000000e-10 -2.58650195e-04 
 5.28000000e-10  1.52355800e+00  5.28000000e-10 -2.58650063e-04 
 6.28000000e-10  1.52355747e+00  6.28000000e-10 -2.58649969e-04 
 7.28000000e-10  1.52355700e+00  7.28000000e-10 -2.58649911e-04 
 8.28000000e-10  1.52355684e+00  8.28000000e-10 -2.58649886e-04 
 9.28000000e-10  1.52355735e+00  9.28000000e-10 -2.58649896e-04 
 1.02800000e-09  1.52355896e+00  1.02800000e-09 -2.58649941e-04 
 1.12800000e-09  1.52356221e+00  1.12800000e-09 -2.58650022e-04 
 1.22800000e-09  1.52356770e+00  1.22800000e-09 -2.58650143e-04 
 1.32800000e-09  1.52357609e+00  1.32800000e-09 -2.58650306e-04 
 1.42800000e-09  1.52358816e+00  1.42800000e-09 -2.58650513e-04 
 1.52800000e-09  1.52360472e+00  1.52800000e-09 -2.58650768e-04 
 1.62800000e-09  1.52362667e+00  1.62800000e-09 -2.58651074e-04 
 1.72800000e-09  1.52365500e+00  1.72800000e-09 -2.58651434e-04 
 1.82800000e-09  1.52369072e+00  1.82800000e-09 -2.58651853e-04 
 1.92800000e-09  1.52373494e+00  1.92800000e-09 -2.58652332e-04 
 2.02800000e-09  1.52378881e+00  2.02800000e-09 -2.58652877e-04 
 2.12800000e-09  1.52385357e+00  2.12800000e-09 -2.58653492e-04 
 2.22800000e-09  1.52393050e+00  2.22800000e-09 -2.58654179e-04 
 2.32800000e-09  1.52402092e+00  2.32800000e-09 -2.58654943e-04 
 2.42800000e-09  1.52412624e+00  2.42800000e-09 -2.58655787e-04 
 2.52800000e-09  1.52424790e+00  2.52800000e-09 -2.58656717e-04 
 2.62800000e-09  1.52438740e+00  2.62800000e-09 -2.58657737e-04 
 2.72800000e-09  1.52454629e+00  2.72800000e-09 -2.58658850e-04 
 2.82800000e-09  1.52472616e+00  2.82800000e-09 -2.58660061e-04 
 2.92800000e-09  1.52492865e+00  2.92800000e-09 -2.58661376e-04 
 3.02800000e-09  1.52515545e+00  3.02800000e-09 -2.58662801e-04 
 3.12800000e-09  1.52540829e+00  3.12800000e-09 -2.58664342e-04 
 3.22800000e-09  1.52568893e+00  3.22800000e-09 -2.58666006e-04 
 3.32800000e-09  1.52599919e+00  3.32800000e-09 -2.58667803e-04 
 3.42800000e-09  1.52634094e+00  3.42800000e-09 -2.58669746e-04 
 3.52800000e-09  1.52671606e+00  3.52800000e-09 -2.58671849e-04 
 3.62800000e-09  1.52712652e+00  3.62800000e-09 -2.58674132e-04 
 3.72800000e-09  1.52757432e+00  3.72800000e-09 -2.58676622e-04 
 3.82800000e-09  1.52806150e+00  3.82800000e-09 -2.58679353e-04 
 3.92800000e-09  1.52859018e+00  3.92800000e-09 -2.58682371e-04 
 4.02800000e-09  1.52916253e+00  4.02800000e-09 -2.58685738e-04 
 4.12800000e-09  1.52978074e+00  4.12800000e-09 -2.58689536e-04 
 4.22800000e-09  1.53044706e+00  4.22800000e-09 -2.58693875e-04 
 4.32800000e-09  1.53116374e+00  4.32800000e-09 -2.58698902e-04 
 4.42800000e-09  1.53193298e+00  4.42800000e-09 -2.58704814e-04 
 4.52800000e-09  1.53275684e+00  4.52800000e-09 -2.58711875e-04 
 4.62800000e-09  1.53363714e+00  4.62800000e-09 -2.58720439e-04 
 4.72800000e-09  1.53457530e+00  4.72800000e-09 -2.58730981e-04 
 4.82800000e-09  1.53557203e+00  4.82800000e-09 -2.58744138e-04 
 4.92800000e-09  1.53662703e+00  4.92800000e-09 -2.58760768e-04 
 5.02800000e-09  1.53773850e+00  5.02800000e-09 -2.58782029e-04 
 5.12800000e-09  1.53890250e+00  5.12800000e-09 -2.58809481e-04 
 5.22800000e-09  1.54011208e+00  5.22800000e-09 -2.58845238e-04 
 5.32800000e-09  1.54135620e+00  5.32800000e-09 -2.58892155e-04 
 5.42800000e-09  1.54261830e+00  5.42800000e-09 -2.58954108e-04 
 5.52800000e-09  1.54387443e+00  5.52800000e-09 -2.59036352e-04 
 5.62800000e-09  1.54509096e+00  5.62800000e-09 -2.59146028e-04 
 5.72800000e-09  1.54622165e+00  5.72800000e-09 -2.59292835e-04 
 5.82800000e-09  1.54720402e+00  5.82800000e-09 -2.59489966e-04 
 5.92800000e-09  1.54795475e+00  5.92800000e-09 -2.59755359e-04 
 6.02800000e-09  1.54836415e+00  6.02800000e-09 -2.60113408e-04 
 6.12800000e-09  1.54828919e+00  6.12800000e-09 -2.60597275e-04 
 6.22800000e-09  1.54754510e+00  6.22800000e-09 -2.61252012e-04 
 6.32800000e-09  1.54589498e+00  6.32800000e-09 -2.62138758e-04 
 6.42800000e-09  1.54303718e+00  6.42800000e-09 -2.63340355e-04 
 6.52800000e-09  1.53858997e+00  6.52800000e-09 -2.64968809e-04 
 6.62800000e-09  1.53207293e+00  6.62800000e-09 -2.67175055e-04 
 6.72800000e-09  1.52288461e+00  6.72800000e-09 -2.70161425e-04 
 6.82800000e-09  1.51027611e+00  6.82800000e-09 -2.74196377e-04 
 6.92800000e-09  1.49332096e+00  6.92800000e-09 -2.79625733e-04 
 7.02800000e-09  1.47088320e+00  7.02800000e-09 -2.86828854e-04 
 7.12800000e-09  1.44159198e+00  7.12800000e-09 -2.95828681e-04 
 7.22800000e-09  1.40384866e+00  7.22800000e-09 -3.05764056e-04 
 7.32800000e-09  1.35585325e+00  7.32800000e-09 -3.14671464e-04 
 7.42800000e-09  1.29544611e+00  7.42800000e-09 -3.21087469e-04 
 7.52800000e-09  1.21971603e+00  7.52800000e-09 -3.24418236e-04 
 7.62800000e-09  1.12568378e+00  7.62800000e-09 -3.24251660e-04 
 7.72800000e-09  1.01408284e+00  7.72800000e-09 -3.20827632e-04 
 7.82800000e-09  8.92008879e-01  7.82800000e-09 -3.14431752e-04 
 7.92800000e-09  7.66982704e-01  7.92800000e-09 -3.07353885e-04 
 8.02800000e-09  6.44165967e-01  8.02800000e-09 -2.98330130e-04 
 8.12800000e-09  5.30459158e-01  8.12800000e-09 -2.88062529e-04 
 8.22800000e-09  4.30525666e-01  8.22800000e-09 -2.76594076e-04 
 8.32800000e-09  3.47018261e-01  8.32800000e-09 -2.64889560e-04 
 8.42800000e-09  2.81520455e-01  8.42800000e-09 -2.53021077e-04 
 8.52800000e-09  2.32503281e-01  8.52800000e-09 -2.41509093e-04 
 8.62800000e-09  1.95745896e-01  8.62800000e-09 -2.27549290e-04 
 8.72800000e-09  1.67170694e-01  8.72800000e-09 -2.12795036e-04 
