 0.00000000e+00  1.38595434e+00  0.00000000e+00 -2.99740351e-04 
 1.00000000e-12  1.38595375e+00  1.00000000e-12 -3.00048350e-04 
 2.00000000e-12  1.38595317e+00  2.00000000e-12 -3.00048125e-04 
 4.00000000e-12  1.38595203e+00  4.00000000e-12 -3.00047678e-04 
 8.00000000e-12  1.38594983e+00  8.00000000e-12 -3.00046788e-04 
 1.60000000e-11  1.38594578e+00  1.60000000e-11 -3.00045035e-04 
 3.20000000e-11  1.38593904e+00  3.20000000e-11 -3.00041624e-04 
 6.40000000e-11  1.38593063e+00  6.40000000e-11 -3.00035164e-04 
 1.28000000e-10  1.38593077e+00  1.28000000e-10 -3.00023514e-04 
 2.28000000e-10  1.38596213e+00  2.28000000e-10 -3.00008041e-04 
 3.28000000e-10  1.38601041e+00  3.28000000e-10 -2.99995058e-04 
 4.28000000e-10  1.38605035e+00  4.28000000e-10 -2.99983735e-04 
 5.28000000e-10  1.38605725e+00  5.28000000e-10 -2.99973447e-04 
 6.28000000e-10  1.38600692e+00  6.28000000e-10 -2.99963715e-04 
 7.28000000e-10  1.38587567e+00  7.28000000e-10 -2.99954182e-04 
 8.28000000e-10  1.38564026e+00  8.28000000e-10 -2.99944579e-04 
 9.28000000e-10  1.38527792e+00  9.28000000e-10 -2.99934707e-04 
 1.02800000e-09  1.38476632e+00  1.02800000e-09 -2.99924423e-04 
 1.12800000e-09  1.38408353e+00  1.12800000e-09 -2.99913628e-04 
 1.22800000e-09  1.38320806e+00  1.22800000e-09 -2.99902261e-04 
 1.32800000e-09  1.38211879e+00  1.32800000e-09 -2.99890292e-04 
 1.42800000e-09  1.38079499e+00  1.42800000e-09 -2.99877722e-04 
 1.52800000e-09  1.37921633e+00  1.52800000e-09 -2.99864578e-04 
 1.62800000e-09  1.37736281e+00  1.62800000e-09 -2.99850924e-04 
 1.72800000e-09  1.37521482e+00  1.72800000e-09 -2.99836857e-04 
 1.82800000e-09  1.37275308e+00  1.82800000e-09 -2.99822517e-04 
 1.92800000e-09  1.36995864e+00  1.92800000e-09 -2.99808099e-04 
 2.02800000e-09  1.36681287e+00  2.02800000e-09 -2.99793865e-04 
 2.12800000e-09  1.36329748e+00  2.12800000e-09 -2.99780161e-04 
 2.22800000e-09  1.35939444e+00  2.22800000e-09 -2.99767449e-04 
 2.32800000e-09  1.35508608e+00  2.32800000e-09 -2.99756330e-04 
 2.42800000e-09  1.35035498e+00  2.42800000e-09 -2.99747595e-04 
 2.52800000e-09  1.34518406e+00  2.52800000e-09 -2.99742280e-04 
 2.62800000e-09  1.33955652e+00  2.62800000e-09 -2.99741734e-04 
 2.72800000e-09  1.33345587e+00  2.72800000e-09 -2.99747726e-04 
 2.82800000e-09  1.32686593e+00  2.82800000e-09 -2.99762560e-04 
 2.92800000e-09  1.31977078e+00  2.92800000e-09 -2.99789251e-04 
 3.02800000e-09  1.31215481e+00  3.02800000e-09 -2.99831736e-04 
 3.12800000e-09  1.30400260e+00  3.12800000e-09 -2.99895160e-04 
 3.22800000e-09  1.29529891e+00  3.22800000e-09 -2.99986250e-04 
