 5.02860000e-11  3.55622064e-05  5.02860000e-11 -2.47771783e-07  5.02860000e-11  2.55332493e-06 
 1.00572000e-10  7.11164317e-05  1.00572000e-10 -2.47733258e-07  1.00572000e-10  5.10643843e-06 
 2.01144000e-10  1.42201571e-04  2.01144000e-10 -2.47621203e-07  2.01144000e-10  1.02120344e-05 
 4.02288000e-10  2.84282699e-04  4.02288000e-10 -2.47517208e-07  4.02288000e-10  2.04207271e-05 
 8.04576000e-10  5.68117997e-04  8.04576000e-10 -2.47219401e-07  8.04576000e-10  4.08282892e-05 
 1.60915200e-09  1.13467630e-03  1.60915200e-09 -2.46800632e-07  1.60915200e-09  8.16052825e-05 
 3.21830400e-09  2.26443991e-03  3.21830400e-09 -2.46010097e-07  3.21830400e-09  1.63013370e-04 
 5.02860000e-09  3.53167329e-03  5.02860000e-09 -2.45363224e-07  5.02860000e-09  2.54375023e-04 
 5.27988424e-09  3.70733439e-03  5.27988424e-09 -2.45297377e-07  5.27988424e-09  2.67038664e-04 
 5.78245272e-09  4.05850496e-03  5.78245272e-09 -2.45027165e-07  5.78245272e-09  2.92352876e-04 
 6.78758967e-09  4.76028743e-03  6.78758967e-09 -2.44771868e-07  6.78758967e-09  3.42929428e-04 
 8.79786358e-09  6.16191383e-03  8.79786358e-09 -2.44020484e-07  8.79786358e-09  4.43877732e-04 
 1.28184114e-08  8.95884557e-03  1.28184114e-08 -2.42869383e-07  1.28184114e-08  6.44971331e-04 
 1.78470114e-08  1.24472806e-02  1.78470114e-08 -2.41310574e-07  1.78470114e-08  8.95012368e-04 
 2.28756114e-08  1.59261831e-02  2.28756114e-08 -2.39974695e-07  2.28756114e-08  1.14345718e-03 
 2.79042114e-08  1.93961279e-02  2.79042114e-08 -2.38500776e-07  2.79042114e-08  1.39034264e-03 
 3.29328114e-08  2.28573159e-02  3.29328114e-08 -2.37234084e-07  3.29328114e-08  1.63570309e-03 
 3.79614114e-08  2.63097242e-02  3.79614114e-08 -2.35822814e-07  3.79614114e-08  1.87957163e-03 
 4.29900114e-08  2.97531349e-02  4.29900114e-08 -2.34615763e-07  4.29900114e-08  2.12198062e-03 
 4.80186114e-08  3.31871131e-02  4.80186114e-08 -2.33262783e-07  4.80186114e-08  2.36296205e-03 
 5.30472114e-08  3.66109531e-02  5.30472114e-08 -2.32113640e-07  5.30472114e-08  2.60254768e-03 
 5.80758114e-08  4.00235940e-02  5.80758114e-08 -2.30818886e-07  5.80758114e-08  2.84076927e-03 
 6.31044114e-08  4.34235007e-02  6.31044114e-08 -2.29728918e-07  6.31044114e-08  3.07765868e-03 
