 0.00000000e+00 -6.23511052e-21  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.88820182e-31 
 5.00000000e-11  1.04802295e-04  5.00000000e-11  1.65000000e-04  5.00000000e-11 -2.40431842e-07 
 1.00000000e-10  2.09605029e-04  1.00000000e-10  3.30000000e-04  1.00000000e-10 -2.40428227e-07 
 2.00000000e-10  4.19211812e-04  2.00000000e-10  6.60000000e-04  2.00000000e-10 -2.40417385e-07 
 4.00000000e-10  8.38430643e-04  4.00000000e-10  1.32000000e-03  4.00000000e-10 -2.40406550e-07 
 8.00000000e-10  1.67688938e-03  8.00000000e-10  2.64000000e-03  8.00000000e-10 -2.40374058e-07 
 1.60000000e-09  3.35389124e-03  1.60000000e-09  5.28000000e-03  1.60000000e-09 -2.40320000e-07 
 3.20000000e-09  6.70823284e-03  3.20000000e-09  1.05600000e-02  3.20000000e-09 -2.40201379e-07 
 6.40000000e-09  1.34182662e-02  6.40000000e-09  2.11200000e-02  6.40000000e-09 -2.39976327e-07 
 1.14000000e-08  2.39062739e-02  1.14000000e-08  3.76200000e-02  1.14000000e-08 -2.39619208e-07 
 1.64000000e-08  3.43985937e-02  1.64000000e-08  5.41200000e-02  1.64000000e-08 -2.39274219e-07 
 2.14000000e-08  4.48951553e-02  2.14000000e-08  7.06200000e-02  2.14000000e-08 -2.38925727e-07 
 2.64000000e-08  5.53958856e-02  2.64000000e-08  8.71200000e-02  2.64000000e-08 -2.38589103e-07 
 3.14000000e-08  6.59007113e-02  3.14000000e-08  1.03620000e-01  3.14000000e-08 -2.38248764e-07 
 3.64000000e-08  7.64095599e-02  3.64000000e-08  1.20120000e-01  3.64000000e-08 -2.37920113e-07 
 4.14000000e-08  8.69223595e-02  4.14000000e-08  1.36620000e-01  4.14000000e-08 -2.37587593e-07 
 4.64000000e-08  9.74390395e-02  4.64000000e-08  1.53120000e-01  4.64000000e-08 -2.37266625e-07 
 5.14000000e-08  1.07959530e-01  5.14000000e-08  1.69620000e-01  5.14000000e-08 -2.36941669e-07 
 5.64000000e-08  1.18483762e-01  5.64000000e-08  1.86120000e-01  5.64000000e-08 -2.36628163e-07 
 6.14000000e-08  1.29011667e-01  6.14000000e-08  2.02620000e-01  6.14000000e-08 -2.36310578e-07 
 6.64000000e-08  1.39543178e-01  6.64000000e-08  2.19120000e-01  6.64000000e-08 -2.36004366e-07 
 7.14000000e-08  1.50078227e-01  7.14000000e-08  2.35620000e-01  7.14000000e-08 -2.35694013e-07 
 7.64000000e-08  1.60616746e-01  7.64000000e-08  2.52120000e-01  7.64000000e-08 -2.35394985e-07 
 8.14000000e-08  1.71158668e-01  8.14000000e-08  2.68620000e-01  8.14000000e-08 -2.35091779e-07 
 8.64000000e-08  1.81703926e-01  8.64000000e-08  2.85120000e-01  8.64000000e-08 -2.34799877e-07 
 9.14000000e-08  1.92252451e-01  9.14000000e-08  3.01620000e-01  9.14000000e-08 -2.34503792e-07 
 9.64000000e-08  2.02804175e-01  9.64000000e-08  3.18120000e-01  9.64000000e-08 -2.34219020e-07 
 1.01400000e-07  2.13359027e-01  1.01400000e-07  3.34620000e-01  1.01400000e-07 -2.33930095e-07 
 1.06400000e-07  2.23916937e-01  1.06400000e-07  3.51120000e-01  1.06400000e-07 -2.33652532e-07 
 1.11400000e-07  2.34477831e-01  1.11400000e-07  3.67620000e-01  1.11400000e-07 -2.33370887e-07 
 1.16400000e-07  2.45041635e-01  1.16400000e-07  3.84120000e-01  1.16400000e-07 -2.33100703e-07 
 1.21400000e-07  2.55608269e-01  1.21400000e-07  4.00620000e-01  1.21400000e-07 -2.32826565e-07 
 1.26400000e-07  2.66177654e-01  1.26400000e-07  4.17120000e-01  1.26400000e-07 -2.32564051e-07 
 1.31400000e-07  2.76749703e-01  1.31400000e-07  4.33620000e-01  1.31400000e-07 -2.32297792e-07 
 1.36400000e-07  2.87324326e-01  1.36400000e-07  4.50120000e-01  1.36400000e-07 -2.32043416e-07 
 1.41400000e-07  2.97901424e-01  1.41400000e-07  4.66620000e-01  1.41400000e-07 -2.31785620e-07 
