 5.50840000e-11  3.02784093e-05  5.50840000e-11 -2.03541620e-07  5.50840000e-11  2.28119990e-06 
 1.10168000e-10  6.05525561e-05  1.10168000e-10 -2.03528771e-07  1.10168000e-10  4.56225302e-06 
 2.20336000e-10  1.21088371e-04  2.20336000e-10 -2.03490180e-07  2.20336000e-10  9.12392012e-06 
 4.40672000e-10  2.42112021e-04  4.40672000e-10 -2.03452168e-07  4.40672000e-10  1.82455050e-05 
 8.81344000e-10  4.83981628e-04  8.81344000e-10 -2.03338348e-07  8.81344000e-10  3.64817306e-05 
 1.76268800e-09  9.67104418e-04  1.76268800e-09 -2.03154315e-07  1.76268800e-09  7.29267531e-05 
 3.52537600e-09  1.93142384e-03  3.52537600e-09 -2.02761014e-07  3.52537600e-09  1.45709090e-04 
 5.50840000e-09  3.01402180e-03  5.50840000e-09 -2.02362086e-07  5.50840000e-09  2.27420718e-04 
 5.86093760e-09  3.20628389e-03  5.86093760e-09 -2.02319373e-07  5.86093760e-09  2.41928772e-04 
 6.56601280e-09  3.59065000e-03  6.56601280e-09 -2.02102370e-07  6.56601280e-09  2.70928277e-04 
 7.97616320e-09  4.35880346e-03  7.97616320e-09 -2.01888398e-07  7.97616320e-09  3.28861187e-04 
 1.07964640e-08  5.89310170e-03  1.07964640e-08 -2.01250185e-07  1.07964640e-08  4.44464777e-04 
 1.63048640e-08  8.88337404e-03  1.63048640e-08 -2.00239059e-07  1.63048640e-08  6.69258515e-04 
 2.18132640e-08  1.18663918e-02  2.18132640e-08 -1.99109917e-07  2.18132640e-08  8.92759410e-04 
 2.73216640e-08  1.48428347e-02  2.73216640e-08 -1.98140743e-07  2.73216640e-08  1.11499246e-03 
 3.28300640e-08  1.78130478e-02  3.28300640e-08 -1.97050084e-07  3.28300640e-08  1.33598165e-03 
 3.83384640e-08  2.07772445e-02  3.83384640e-08 -1.96117849e-07  3.83384640e-08  1.55575052e-03 
 4.38468640e-08  2.37355766e-02  4.38468640e-08 -1.95063338e-07  4.38468640e-08  1.77432239e-03 
 4.93552640e-08  2.66881632e-02  4.93552640e-08 -1.94166847e-07  4.93552640e-08  1.99172057e-03 
 5.48636640e-08  2.96351044e-02  5.48636640e-08 -1.93147932e-07  5.48636640e-08  2.20796853e-03 
