-4.00000000e+01  1.21945857e+00 
-3.50000000e+01  1.21998081e+00 
-3.00000000e+01  1.22048747e+00 
-2.50000000e+01  1.22097984e+00 
-2.00000000e+01  1.22145832e+00 
-1.50000000e+01  1.22192351e+00 
-1.00000000e+01  1.22237597e+00 
-5.00000000e+00  1.22281623e+00 
 0.00000000e+00  1.22324483e+00 
 5.00000000e+00  1.22366225e+00 
 1.00000000e+01  1.22406898e+00 
 1.50000000e+01  1.22446546e+00 
 2.00000000e+01  1.22485214e+00 
 2.50000000e+01  1.22522944e+00 
 3.00000000e+01  1.22559776e+00 
 3.50000000e+01  1.22595749e+00 
 4.00000000e+01  1.22630901e+00 
 4.50000000e+01  1.22665266e+00 
 5.00000000e+01  1.22698880e+00 
 5.50000000e+01  1.22731776e+00 
 6.00000000e+01  1.22763985e+00 
 6.50000000e+01  1.22795539e+00 
 7.00000000e+01  1.22826466e+00 
 7.50000000e+01  1.22856797e+00 
 8.00000000e+01  1.22886557e+00 
 8.50000000e+01  1.22915774e+00 
 9.00000000e+01  1.22944473e+00 
 9.50000000e+01  1.22972679e+00 
 1.00000000e+02  1.23000416e+00 
 1.05000000e+02  1.23027707e+00 
 1.10000000e+02  1.23054574e+00 
 1.15000000e+02  1.23081038e+00 
 1.20000000e+02  1.23107122e+00 
 1.25000000e+02  1.23132844e+00 
