 1.00000000e+01  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.67998276e+02 -1.28495135e-01  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00 
 1.12201845e+01  0.00000000e+00  0.00000000e+00  1.12201845e+01  1.67998250e+02 -1.44173891e-01  1.12201845e+01  0.00000000e+00  0.00000000e+00  1.12201845e+01  1.00000000e+00  0.00000000e+00  1.12201845e+01  0.00000000e+00  0.00000000e+00  1.12201845e+01  0.00000000e+00  0.00000000e+00 
 1.25892541e+01  0.00000000e+00  0.00000000e+00  1.25892541e+01  1.67998218e+02 -1.61765736e-01  1.25892541e+01  0.00000000e+00  0.00000000e+00  1.25892541e+01  1.00000000e+00  0.00000000e+00  1.25892541e+01  0.00000000e+00  0.00000000e+00  1.25892541e+01  0.00000000e+00  0.00000000e+00 
 1.41253754e+01  0.00000000e+00  0.00000000e+00  1.41253754e+01  1.67998178e+02 -1.81504097e-01  1.41253754e+01  0.00000000e+00  0.00000000e+00  1.41253754e+01  1.00000000e+00  0.00000000e+00  1.41253754e+01  0.00000000e+00  0.00000000e+00  1.41253754e+01  0.00000000e+00  0.00000000e+00 
 1.58489319e+01  0.00000000e+00  0.00000000e+00  1.58489319e+01  1.67998127e+02 -2.03650885e-01  1.58489319e+01  0.00000000e+00  0.00000000e+00  1.58489319e+01  1.00000000e+00  0.00000000e+00  1.58489319e+01  0.00000000e+00  0.00000000e+00  1.58489319e+01  0.00000000e+00  0.00000000e+00 
 1.77827941e+01  0.00000000e+00  0.00000000e+00  1.77827941e+01  1.67998063e+02 -2.28499964e-01  1.77827941e+01  0.00000000e+00  0.00000000e+00  1.77827941e+01  1.00000000e+00  0.00000000e+00  1.77827941e+01  0.00000000e+00  0.00000000e+00  1.77827941e+01  0.00000000e+00  0.00000000e+00 
 1.99526231e+01  0.00000000e+00  0.00000000e+00  1.99526231e+01  1.67997983e+02 -2.56381054e-01  1.99526231e+01  0.00000000e+00  0.00000000e+00  1.99526231e+01  1.00000000e+00  0.00000000e+00  1.99526231e+01  0.00000000e+00  0.00000000e+00  1.99526231e+01  0.00000000e+00  0.00000000e+00 
 2.23872114e+01  0.00000000e+00  0.00000000e+00  2.23872114e+01  1.67997881e+02 -2.87664100e-01  2.23872114e+01  0.00000000e+00  0.00000000e+00  2.23872114e+01  1.00000000e+00  0.00000000e+00  2.23872114e+01  0.00000000e+00  0.00000000e+00  2.23872114e+01  0.00000000e+00  0.00000000e+00 
 2.51188643e+01  0.00000000e+00  0.00000000e+00  2.51188643e+01  1.67997754e+02 -3.22764184e-01  2.51188643e+01  0.00000000e+00  0.00000000e+00  2.51188643e+01  1.00000000e+00  0.00000000e+00  2.51188643e+01  0.00000000e+00  0.00000000e+00  2.51188643e+01  0.00000000e+00  0.00000000e+00 
 2.81838293e+01  0.00000000e+00  0.00000000e+00  2.81838293e+01  1.67997593e+02 -3.62147025e-01  2.81838293e+01  0.00000000e+00  0.00000000e+00  2.81838293e+01  1.00000000e+00  0.00000000e+00  2.81838293e+01  0.00000000e+00  0.00000000e+00  2.81838293e+01  0.00000000e+00  0.00000000e+00 
