 8.24141000e-11  6.58485982e-05  8.24141000e-11 -6.87618723e-07 
 1.64828200e-10  1.31694982e-04  1.64828200e-10 -6.87644839e-07 
 3.29656400e-10  2.63381761e-04  3.29656400e-10 -6.87649859e-07 
 6.59312800e-10  5.26732091e-04  6.59312800e-10 -6.87646543e-07 
 1.31862560e-09  1.05335002e-03  1.31862560e-09 -6.87454765e-07 
 2.07355415e-09  1.65621635e-03  2.07355415e-09 -6.87255937e-07 
 3.45044226e-09  2.75545129e-03  3.45044226e-09 -6.86830733e-07 
 6.17039901e-09  4.92583426e-03  6.17039901e-09 -6.86069493e-07 
 8.24141000e-09  6.57748808e-03  8.24141000e-09 -6.85455241e-07 
 8.78540135e-09  7.01120232e-03  8.78540135e-09 -6.85389788e-07 
 9.87338405e-09  7.87847789e-03  9.87338405e-09 -6.84926965e-07 
 1.20493495e-08  9.61242654e-03  1.20493495e-08 -6.84468827e-07 
 1.64012803e-08  1.30779691e-02  1.64012803e-08 -6.83103187e-07 
 2.46426903e-08  1.96324654e-02  2.46426903e-08 -6.81016035e-07 
 3.28841003e-08  2.61764375e-02  3.28841003e-08 -6.78700505e-07 
 4.11255103e-08  3.27102487e-02  4.11255103e-08 -6.76746037e-07 
 4.93669203e-08  3.92342143e-02  4.93669203e-08 -6.74557882e-07 
 5.76083303e-08  4.57486163e-02  5.76083303e-08 -6.72726325e-07 
 6.58497403e-08  5.22537094e-02  6.58497403e-08 -6.70657458e-07 
 7.40911503e-08  5.87497230e-02  7.40911503e-08 -6.68942604e-07 
 8.23325603e-08  6.52368621e-02  8.23325603e-08 -6.66989329e-07 
 9.05739703e-08  7.17153074e-02  9.05739703e-08 -6.65391151e-07 
 9.88153803e-08  7.81852140e-02  9.88153803e-08 -6.63558941e-07 
 1.07056790e-07  8.46467086e-02  1.07056790e-07 -6.62091088e-07 
 1.15298200e-07  9.10998856e-02  1.15298200e-07 -6.60405677e-07 
 1.23539610e-07  9.75448006e-02  1.23539610e-07 -6.59112277e-07 
 1.31781020e-07  1.03981460e-01  1.31781020e-07 -6.57647816e-07 
 1.40022430e-07  1.10409808e-01  1.40022430e-07 -6.56655383e-07 
 1.48263840e-07  1.16829704e-01  1.48263840e-07 -6.55629988e-07 
 1.54561547e-07  1.21729641e-01  1.54561547e-07 -6.55403152e-07 
 1.60004518e-07  1.25960328e-01  1.60004518e-07 -6.55158173e-07 
 1.64964231e-07  1.29811857e-01  1.64964231e-07 -6.55533694e-07 
 1.69620385e-07  1.33424470e-01  1.69620385e-07 -6.55872000e-07 
 1.74049136e-07  1.36857674e-01  1.74049136e-07 -6.56860502e-07 
 1.78308242e-07  1.40156538e-01  1.78308242e-07 -6.57857746e-07 
 1.82834551e-07  1.43659228e-01  1.82834551e-07 -6.59717759e-07 
 1.86978046e-07  1.46862784e-01  1.86978046e-07 -6.61611512e-07 
 1.91158616e-07  1.50092204e-01  1.91158616e-07 -6.64327163e-07 
 1.95788158e-07  1.53665270e-01  1.95788158e-07 -6.67672454e-07 
 2.00249670e-07  1.57105749e-01  2.00249670e-07 -6.71905568e-07 
 2.05091342e-07  1.60836768e-01  2.05091342e-07 -6.76981598e-07 
 2.09343159e-07  1.64111749e-01  2.09343159e-07 -6.82516889e-07 
 2.13053653e-07  1.66969435e-01  2.13053653e-07 -6.87648091e-07 
 2.16523782e-07  1.69642515e-01  2.16523782e-07 -6.93359056e-07 
 2.19888182e-07  1.72235437e-01  2.19888182e-07 -6.99137230e-07 
 2.23183129e-07  1.74776901e-01  2.23183129e-07 -7.05748605e-07 
 2.26755076e-07  1.77535355e-01  2.26755076e-07 -7.13313673e-07 
 2.30003701e-07  1.80047962e-01  2.30003701e-07 -7.21277832e-07 
 2.33585789e-07  1.82823468e-01  2.33585789e-07 -7.30700254e-07 
 2.36535352e-07  1.85112712e-01  2.36535352e-07 -7.39752048e-07 
 2.38566058e-07  1.86690222e-01  2.38566058e-07 -7.46454968e-07 
 2.40180181e-07  1.87944247e-01  2.40180181e-07 -7.52619874e-07 
 2.41582543e-07  1.89033140e-01  2.41582543e-07 -7.58251757e-07 
 2.42854185e-07  1.90019302e-01  2.42854185e-07 -7.64199925e-07 
 2.44024239e-07  1.90924894e-01  2.44024239e-07 -7.69986184e-07 
 2.45113444e-07  1.91765637e-01  2.45113444e-07 -7.76233224e-07 
 2.46188008e-07  1.92592200e-01  2.46188008e-07 -7.82699689e-07 
 2.47334250e-07  1.93469955e-01  2.47334250e-07 -7.90538661e-07 
 2.48440086e-07  1.94312244e-01  2.48440086e-07 -7.98411978e-07 
 2.49638964e-07  1.95219897e-01  2.49638964e-07 -8.07664668e-07 
 2.51014407e-07  1.96254127e-01  2.51014407e-07 -8.18286894e-07 
 2.52558716e-07  1.97407325e-01  2.52558716e-07 -8.30278319e-07 
 2.53908507e-07  1.98410209e-01  2.53908507e-07 -8.39842958e-07 
 2.55444591e-07  1.99549183e-01  2.55444591e-07 -8.49806794e-07 
 2.56842781e-07  2.00587255e-01  2.56842781e-07 -8.57188375e-07 
 2.58425033e-07  2.01768203e-01  2.58425033e-07 -8.64250234e-07 
 2.60084802e-07  2.03019139e-01  2.60084802e-07 -8.69501811e-07 
 2.62033087e-07  2.04509778e-01  2.62033087e-07 -8.74234015e-07 
 2.64272751e-07  2.06260072e-01  2.64272751e-07 -8.77568583e-07 
 2.67127451e-07  2.08555638e-01  2.67127451e-07 -8.81212442e-07 
 2.70153823e-07  2.11071333e-01  2.70153823e-07 -8.84857703e-07 
 2.73528386e-07  2.13970568e-01  2.73528386e-07 -8.91169945e-07 
 2.76685700e-07  2.16759471e-01  2.76685700e-07 -8.98707095e-07 
 2.80075216e-07  2.19808218e-01  2.80075216e-07 -9.09698822e-07 
 2.83550791e-07  2.22943716e-01  2.83550791e-07 -9.22619690e-07 
 2.87534843e-07  2.26418214e-01  2.87534843e-07 -9.40439631e-07 
 2.90593687e-07  2.28837855e-01  2.90593687e-07 -9.55288307e-07 
 2.92944490e-07  2.30383428e-01  2.92944490e-07 -9.68320593e-07 
 2.94931314e-07  2.31315695e-01  2.94931314e-07 -9.79709128e-07 
 2.96718627e-07  2.31694629e-01  2.96718627e-07 -9.91436459e-07 
 2.98358856e-07  2.31476976e-01  2.98358856e-07 -1.00263828e-06 
 2.99870348e-07  2.30597638e-01  2.99870348e-07 -1.01463500e-06 
 3.01267601e-07  2.28990578e-01  3.01267601e-07 -1.02637768e-06 
 3.02565834e-07  2.26585837e-01  3.02565834e-07 -1.03918691e-06 
 3.03779368e-07  2.23305705e-01  3.03779368e-07 -1.05203355e-06 
 3.04920591e-07  2.19063849e-01  3.04920591e-07 -1.06623748e-06 
 3.05999922e-07  2.13765512e-01  3.05999922e-07 -1.08075416e-06 
 3.07026083e-07  2.07307955e-01  3.07026083e-07 -1.09688177e-06 
 3.08157235e-07  1.98229448e-01  3.08157235e-07 -1.11633457e-06 
 3.09223454e-07  1.87414499e-01  3.09223454e-07 -1.13776234e-06 
 3.10412653e-07  1.72221587e-01  3.10412653e-07 -1.16429023e-06 
 3.11581713e-07  1.53463672e-01  3.11581713e-07 -1.19463492e-06 
 3.12847975e-07  1.28080857e-01  3.12847975e-07 -1.23120412e-06 
 3.14103741e-07  9.70351601e-02  3.14103741e-07 -1.27157422e-06 
 3.14966389e-07  7.24674315e-02  3.14966389e-07 -1.29625988e-06 
 3.15238018e-07  6.43507012e-02  3.15238018e-07 -1.30161977e-06 
 3.15578602e-07  5.42472197e-02  3.15578602e-07 -1.30232012e-06 
 3.15873667e-07  4.58125068e-02  3.15873667e-07 -1.29892563e-06 
 3.16157481e-07  3.82396091e-02  3.16157481e-07 -1.28971395e-06 
 3.16492160e-07  3.02655247e-02  3.16492160e-07 -1.27561025e-06 
 3.16798985e-07  2.40111843e-02  3.16798985e-07 -1.25849901e-06 
 3.17181882e-07  1.76761227e-02  3.17181882e-07 -1.23752312e-06 
 3.17446911e-07  1.41935147e-02  3.17446911e-07 -1.22214481e-06 
 3.17658374e-07  1.18857832e-02  3.17658374e-07 -1.21237679e-06 
 3.17878961e-07  9.87033158e-03  3.17878961e-07 -1.20155877e-06 
 3.18107178e-07  8.15289124e-03  3.18107178e-07 -1.19349041e-06 
 3.18365224e-07  6.59256282e-03  3.18365224e-07 -1.18423162e-06 
 3.18609866e-07  5.42577697e-03  3.18609866e-07 -1.17876315e-06 
 3.18877655e-07  4.42993935e-03  3.18877655e-07 -1.17264796e-06 
 3.19142881e-07  3.67575105e-03  3.19142881e-07 -1.16980130e-06 
 3.19436431e-07  3.04914030e-03  3.19436431e-07 -1.16633026e-06 
 3.19737348e-07  2.57952802e-03  3.19737348e-07 -1.16580780e-06 
 3.20073585e-07  2.20533293e-03  3.20073585e-07 -1.16464455e-06 
 3.20429055e-07  1.93203274e-03  3.20429055e-07 -1.16621254e-06 
 3.20833070e-07  1.72312757e-03  3.20833070e-07 -1.16710133e-06 
 3.21275995e-07  1.57306779e-03  3.21275995e-07 -1.17060688e-06 
 3.21794863e-07  1.45831459e-03  3.21794863e-07 -1.17347569e-06 
 3.22393326e-07  1.36965545e-03  3.22393326e-07 -1.17905907e-06 
 3.23134466e-07  1.29028460e-03  3.23134466e-07 -1.18438140e-06 
 3.24065639e-07  1.21094649e-03  3.24065639e-07 -1.19316998e-06 
 3.25356750e-07  1.11717748e-03  3.25356750e-07 -1.20346806e-06 
 3.27281975e-07  9.97869428e-04  3.27281975e-07 -1.22139782e-06 
 3.30601551e-07  8.34369507e-04  3.30601551e-07 -1.25523181e-06 
 3.33458651e-07  7.24362677e-04  3.33458651e-07 -1.30341118e-06 
 3.35435454e-07  6.62059706e-04  3.35435454e-07 -1.35907323e-06 
 3.37098293e-07  6.16088192e-04  3.37098293e-07 -1.43355739e-06 
 3.38736308e-07  5.75832915e-04  3.38736308e-07 -1.53857006e-06 
 3.40414143e-07  5.38859114e-04  3.40414143e-07 -1.69071893e-06 
 3.42130776e-07  5.04882598e-04  3.42130776e-07 -1.89672814e-06 
 3.44018819e-07  4.71295717e-04  3.44018819e-07 -2.18895495e-06 
 3.45792881e-07  4.42833230e-04  3.45792881e-07 -2.52080164e-06 
 3.47423944e-07  4.18958520e-04  3.47423944e-07 -2.87156541e-06 
