 0.00000000e+00  1.03378936e-17  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.11740668e-28 
 5.00000000e-11  1.05906164e-04  5.00000000e-11  1.65000000e-04  5.00000000e-11 -2.37235988e-07 
 1.00000000e-10  2.11812291e-04  1.00000000e-10  3.30000000e-04  1.00000000e-10 -2.37232889e-07 
 2.00000000e-10  4.23624474e-04  2.00000000e-10  6.60000000e-04  2.00000000e-10 -2.37223556e-07 
 4.00000000e-10  8.47248698e-04  4.00000000e-10  1.32000000e-03  4.00000000e-10 -2.37214211e-07 
 8.00000000e-10  1.69449793e-03  8.00000000e-10  2.64000000e-03  8.00000000e-10 -2.37186016e-07 
 1.60000000e-09  3.38900859e-03  1.60000000e-09  5.28000000e-03  1.60000000e-09 -2.37138584e-07 
 3.20000000e-09  6.77813089e-03  3.20000000e-09  1.05600000e-02  3.20000000e-09 -2.37033607e-07 
 6.40000000e-09  1.35570113e-02  6.40000000e-09  2.11200000e-02  6.40000000e-09 -2.36833498e-07 
 1.14000000e-08  2.41511357e-02  1.14000000e-08  3.76200000e-02  1.14000000e-08 -2.36519420e-07 
 1.64000000e-08  3.47480311e-02  1.64000000e-08  5.41200000e-02  1.64000000e-08 -2.36220852e-07 
 2.14000000e-08  4.53476843e-02  2.14000000e-08  7.06200000e-02  2.14000000e-08 -2.35921910e-07 
 2.64000000e-08  5.59500079e-02  2.64000000e-08  8.71200000e-02  2.64000000e-08 -2.35636914e-07 
 3.14000000e-08  6.65548779e-02  3.14000000e-08  1.03620000e-01  3.14000000e-08 -2.35350958e-07 
 3.64000000e-08  7.71621415e-02  3.64000000e-08  1.20120000e-01  3.64000000e-08 -2.35079078e-07 
 4.14000000e-08  8.77716191e-02  4.14000000e-08  1.36620000e-01  4.14000000e-08 -2.34806736e-07 
 4.64000000e-08  9.83831046e-02  4.64000000e-08  1.53120000e-01  4.64000000e-08 -2.34549226e-07 
 5.14000000e-08  1.08996362e-01  5.14000000e-08  1.69620000e-01  5.14000000e-08 -2.34292273e-07 
 5.64000000e-08  1.19611123e-01  5.64000000e-08  1.86120000e-01  5.64000000e-08 -2.34051465e-07 
 6.14000000e-08  1.30227075e-01  6.14000000e-08  2.02620000e-01  6.14000000e-08 -2.33812858e-07 
 6.64000000e-08  1.40843859e-01  6.64000000e-08  2.19120000e-01  6.64000000e-08 -2.33592421e-07 
 7.14000000e-08  1.51461055e-01  7.14000000e-08  2.35620000e-01  7.14000000e-08 -2.33376654e-07 
 7.64000000e-08  1.62078175e-01  7.64000000e-08  2.52120000e-01  7.64000000e-08 -2.33182047e-07 
 8.14000000e-08  1.72694640e-01  8.14000000e-08  2.68620000e-01  8.14000000e-08 -2.32995724e-07 
 8.64000000e-08  1.83309771e-01  8.64000000e-08  2.85120000e-01  8.64000000e-08 -2.32834915e-07 
 9.14000000e-08  1.93922760e-01  9.14000000e-08  3.01620000e-01  9.14000000e-08 -2.32687628e-07 
 9.64000000e-08  2.04532648e-01  9.64000000e-08  3.18120000e-01  9.64000000e-08 -2.32572151e-07 
 1.01400000e-07  2.15138295e-01  1.01400000e-07  3.34620000e-01  1.01400000e-07 -2.32477753e-07 
