 0.00000000e+00  1.51570193e+00  0.00000000e+00 -3.02679165e-04 
 1.00000000e-12  1.51570680e+00  1.00000000e-12 -3.00138952e-04 
 2.00000000e-12  1.51571158e+00  2.00000000e-12 -3.00141949e-04 
 4.00000000e-12  1.51572096e+00  4.00000000e-12 -3.00147923e-04 
 8.00000000e-12  1.51573867e+00  8.00000000e-12 -3.00159759e-04 
 1.60000000e-11  1.51577000e+00  1.60000000e-11 -3.00182995e-04 
 3.20000000e-11  1.51581714e+00  3.20000000e-11 -3.00227794e-04 
 6.40000000e-11  1.51585623e+00  6.40000000e-11 -3.00311265e-04 
 1.28000000e-10  1.51576761e+00  1.28000000e-10 -3.00457650e-04 
 2.28000000e-10  1.51541576e+00  2.28000000e-10 -3.00645922e-04 
 3.28000000e-10  1.51514487e+00  3.28000000e-10 -3.00802709e-04 
 4.28000000e-10  1.51535581e+00  4.28000000e-10 -3.00944672e-04 
 5.28000000e-10  1.51643107e+00  5.28000000e-10 -3.01084075e-04 
 6.28000000e-10  1.51873482e+00  6.28000000e-10 -3.01230558e-04 
 7.28000000e-10  1.52261292e+00  7.28000000e-10 -3.01392371e-04 
 8.28000000e-10  1.52839285e+00  8.28000000e-10 -3.01577447e-04 
 9.28000000e-10  1.53638367e+00  9.28000000e-10 -3.01794365e-04 
 1.02800000e-09  1.54687589e+00  1.02800000e-09 -3.02053375e-04 
 1.12800000e-09  1.56014137e+00  1.12800000e-09 -3.02367591e-04 
 1.22800000e-09  1.57643323e+00  1.22800000e-09 -3.02754576e-04 
 1.32800000e-09  1.59598578e+00  1.32800000e-09 -3.03238539e-04 
 1.42800000e-09  1.61901442e+00  1.42800000e-09 -3.03853524e-04 
 1.52800000e-09  1.64571538e+00  1.52800000e-09 -3.04648076e-04 
 1.62800000e-09  1.67626520e+00  1.62800000e-09 -3.05692086e-04 
 1.72800000e-09  1.71081980e+00  1.72800000e-09 -3.07086766e-04 
 1.82800000e-09  1.74951312e+00  1.82800000e-09 -3.08979036e-04 
 1.92800000e-09  1.79245540e+00  1.92800000e-09 -3.11582005e-04 
 2.02800000e-09  1.83973082e+00  2.02800000e-09 -3.15203938e-04 
 2.12800000e-09  1.89139260e+00  2.12800000e-09 -3.20289836e-04 
 2.22800000e-09  1.94744831e+00  2.22800000e-09 -3.27486858e-04 
 2.32800000e-09  2.00779561e+00  2.32800000e-09 -3.37765681e-04 
 2.42800000e-09  2.07189332e+00  2.42800000e-09 -3.52056582e-04 
 2.52800000e-09  2.13774710e+00  2.52800000e-09 -3.67172186e-04 
 2.62800000e-09  2.20378229e+00  2.62800000e-09 -3.79571659e-04 
 2.72800000e-09  2.27253989e+00  2.72800000e-09 -3.89243161e-04 
 2.82800000e-09  2.34680856e+00  2.82800000e-09 -3.89475131e-04 
 2.92800000e-09  2.42732525e+00  2.92800000e-09 -3.87497155e-04 
 3.02800000e-09  2.51325565e+00  3.02800000e-09 -3.84844251e-04 
 3.12800000e-09  2.60279036e+00  3.12800000e-09 -3.78781395e-04 
 3.22800000e-09  2.69443242e+00  3.22800000e-09 -3.70403826e-04 
 3.32800000e-09  2.78730921e+00  3.32800000e-09 -3.53121590e-04 
 3.42800000e-09  2.87885692e+00  3.42800000e-09 -3.36104163e-04 
 3.52800000e-09  2.96697756e+00  3.52800000e-09 -3.15959225e-04 
 3.62800000e-09  3.05177582e+00  3.62800000e-09 -3.02271525e-04 
 3.72800000e-09  3.13454643e+00  3.72800000e-09 -2.84814953e-04 
 3.82800000e-09  3.21609816e+00  3.82800000e-09 -2.70610969e-04 
 3.92800000e-09  3.29084309e+00  3.92800000e-09 -2.40777459e-04 
 4.02800000e-09  3.35127022e+00  4.02800000e-09 -2.21935101e-04 
 4.12800000e-09  3.38955237e+00  4.12800000e-09 -2.00084675e-04 
 4.22800000e-09  3.39770476e+00  4.22800000e-09 -1.93818938e-04 
 4.32800000e-09  3.36598322e+00  4.32800000e-09 -1.82503722e-04 
 4.42800000e-09  3.27097780e+00  4.42800000e-09 -1.78457270e-04 
 4.52800000e-09  3.09377725e+00  4.52800000e-09 -1.66723084e-04 
 4.62800000e-09  2.84879283e+00  4.62800000e-09 -1.69598531e-04 
 4.72800000e-09  2.56593691e+00  4.72800000e-09 -1.69946694e-04 
 4.82800000e-09  2.26122546e+00  4.82800000e-09 -1.78729006e-04 
 4.92800000e-09  1.92450352e+00  4.92800000e-09 -1.75437216e-04 
 5.02800000e-09  1.56686536e+00  5.02800000e-09 -1.88909013e-04 
 5.12800000e-09  1.22116578e+00  5.12800000e-09 -1.79437930e-04 
 5.22800000e-09  9.22784461e-01  5.22800000e-09 -1.78980177e-04 
 5.32800000e-09  6.73772460e-01  5.32800000e-09 -1.56545124e-04 
 5.42800000e-09  4.63068759e-01  5.42800000e-09 -1.40389701e-04 
 5.52800000e-09  3.14031292e-01  5.52800000e-09 -1.12179319e-04 
 5.62800000e-09  2.13479772e-01  5.62800000e-09 -1.02404468e-04 
 5.72800000e-09  1.46982980e-01  5.72800000e-09 -8.21672025e-05 
