 0.00000000e+00  9.57975263e-14  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.22136184e-25 
 5.00000000e-11  1.06048632e-04  5.00000000e-11  1.65000000e-04  5.00000000e-11 -2.37539812e-07 
 1.00000000e-10  2.12097583e-04  1.00000000e-10  3.30000000e-04  1.00000000e-10 -2.37536520e-07 
 2.00000000e-10  4.24196440e-04  2.00000000e-10  6.60000000e-04  2.00000000e-10 -2.37526642e-07 
 4.00000000e-10  8.48398003e-04  4.00000000e-10  1.32000000e-03  4.00000000e-10 -2.37516762e-07 
 8.00000000e-10  1.69681669e-03  8.00000000e-10  2.64000000e-03  8.00000000e-10 -2.37487112e-07 
 1.60000000e-09  3.39371739e-03  1.60000000e-09  5.28000000e-03  1.60000000e-09 -2.37437677e-07 
 3.20000000e-09  6.78777802e-03  3.20000000e-09  1.05600000e-02  3.20000000e-09 -2.37329001e-07 
 6.40000000e-09  1.35769587e-02  6.40000000e-09  2.11200000e-02  6.40000000e-09 -2.37122398e-07 
 1.14000000e-08  2.41878997e-02  1.14000000e-08  3.76200000e-02  1.14000000e-08 -2.36794620e-07 
 1.64000000e-08  3.48022726e-02  1.64000000e-08  5.41200000e-02  1.64000000e-08 -2.36478442e-07 
 2.14000000e-08  4.54200033e-02  2.14000000e-08  7.06200000e-02  2.14000000e-08 -2.36159546e-07 
 2.64000000e-08  5.60410066e-02  2.64000000e-08  8.71200000e-02  2.64000000e-08 -2.35852185e-07 
 3.14000000e-08  6.66651917e-02  3.14000000e-08  1.03620000e-01  3.14000000e-08 -2.35542092e-07 
 3.64000000e-08  7.72924628e-02  3.64000000e-08  1.20120000e-01  3.64000000e-08 -2.35243588e-07 
 4.14000000e-08  8.79227194e-02  4.14000000e-08  1.36620000e-01  4.14000000e-08 -2.34942471e-07 
 4.64000000e-08  9.85558552e-02  4.64000000e-08  1.53120000e-01  4.64000000e-08 -2.34653129e-07 
 5.14000000e-08  1.09191757e-01  5.14000000e-08  1.69620000e-01  5.14000000e-08 -2.34361436e-07 
 5.64000000e-08  1.19830302e-01  5.64000000e-08  1.86120000e-01  5.64000000e-08 -2.34081865e-07 
 6.14000000e-08  1.30471358e-01  6.14000000e-08  2.02620000e-01  6.14000000e-08 -2.33800393e-07 
 6.64000000e-08  1.41114780e-01  6.64000000e-08  2.19120000e-01  6.64000000e-08 -2.33531621e-07 
